Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Bermuda,140.3,107.4,125.0,133.7,140.1,104.0
Switzerland,125.7,59.6,94.8,122.6,124.0,153.9
Bahamas,106.3,38.5,74.7,98.9,97.7,43.2
Norway,104.3,41.2,74.8,94.2,118.8,115.0
Iceland,99.7,42.8,73.1,89.3,110.3,84.4
Japan,93.0,33.5,65.2,96.7,53.7,107.3
Singapore,87.8,81.2,84.7,76.2,61.8,98.0
Denmark,84.4,34.8,61.2,64.3,101.0,135.2
New Zealand,81.5,34.9,59.8,71.9,82.2,108.6
Luxembourg,81.5,50.5,67.0,66.0,93.4,144.7
Kuwait,80.0,38.7,60.7,90.8,46.5,103.5
Australia,79.7,45.0,63.5,73.8,78.1,137.3
Ireland,78.7,41.5,61.3,63.2,85.0,115.5
Hong Kong,78.2,82.3,80.1,79.4,54.2,91.8
Sweden,77.6,27.7,54.3,68.0,81.0,117.3
France,76.9,27.6,53.9,69.4,76.7,105.4
Belgium,76.2,31.7,55.4,64.8,86.3,99.3
Israel,75.2,29.1,53.7,61.8,80.7,103.8
South Korea,74.5,29.1,53.3,85.4,43.7,108.4
Finland,74.4,29.5,53.4,62.3,80.3,123.4
United States,73.2,41.5,58.4,72.2,69.2,130.2
Netherlands,73.0,35.6,55.6,55.2,83.6,120.1
United Kingdom,72.7,35.1,55.1,57.7,83.6,109.8
Austria,71.8,28.6,51.6,64.9,70.2,103.5
Italy,69.7,23.3,48.0,57.3,77.5,102.6
Canada,69.1,30.9,51.2,66.9,66.7,118.1
Qatar,68.0,70.6,69.2,54.9,72.6,131.0
Germany,66.8,26.7,48.1,51.9,62.8,136.1
United Arab Emirates,65.7,70.3,67.9,53.5,63.4,126.2
Puerto Rico,65.4,20.6,44.5,62.0,58.8,90.1
Macao,63.7,44.1,54.5,53.8,47.7,87.2
Malta,62.1,22.9,43.8,50.5,69.3,73.9
Lebanon,60.1,34.1,48.0,44.4,59.6,59.2
Belize,58.4,12.0,36.8,48.9,34.2,147.0
Uruguay,57.9,16.6,38.6,47.0,52.5,41.7
Taiwan,57.4,16.1,38.1,65.0,27.5,113.2
Spain,57.0,20.7,40.1,45.3,57.9,94.8
Cyprus,56.8,14.5,37.1,46.0,61.4,86.4
Ghana,56.2,45.0,51.0,53.2,43.3,16.9
Costa Rica,56.1,18.2,38.4,53.2,45.9,59.7
Greece,55.6,10.7,34.6,43.8,57.3,67.3
Jordan,55.5,12.7,35.5,45.4,56.2,46.5
Argentina,55.3,15.5,36.7,44.6,56.2,61.3
Jamaica,55.3,12.9,35.5,52.4,38.6,41.2
Brunei,54.5,23.1,39.8,53.3,36.6,74.1
Slovenia,54.1,15.8,36.2,43.5,45.4,83.3
Trinidad And Tobago,53.3,22.1,38.8,49.5,52.0,61.8
