Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Bermuda,144.9,100.7,123.6,143.4,151.6,104.2
Switzerland,131.4,53.8,94.0,133.3,131.9,126.1
Iceland,124.0,54.6,90.5,119.0,132.6,87.8
Norway,113.7,40.9,78.6,106.5,125.0,108.0
Bahamas,100.7,35.3,69.2,88.4,102.1,71.4
Luxembourg,96.6,59.9,78.9,85.0,107.9,116.7
Denmark,93.3,36.6,66.0,72.5,113.4,117.5
Singapore,91.4,71.9,82.0,83.6,64.4,95.9
Japan,86.6,25.6,57.2,91.6,49.2,107.4
Israel,86.5,35.6,62.0,72.4,94.9,102.3
Ireland,85.4,47.2,67.0,69.5,93.2,96.1
Australia,84.3,41.8,63.8,80.7,81.6,123.0
France,83.9,28.6,57.2,78.1,81.9,101.2
Sweden,83.7,28.0,56.8,76.1,86.7,113.0
New Zealand,83.4,33.8,59.5,77.0,79.0,98.6
Belgium,83.3,28.1,56.7,72.8,93.2,98.9
South Korea,82.9,23.4,54.2,99.7,49.0,109.4
Netherlands,82.7,36.2,60.3,65.8,92.7,109.5
Finland,81.7,29.7,56.6,68.8,86.9,119.4
Austria,81.5,29.3,56.3,76.8,75.8,98.7
Italy,79.1,23.1,52.1,68.0,84.7,81.1
Hong Kong,78.7,79.5,79.1,83.5,56.2,82.9
United Kingdom,75.8,33.4,55.4,61.0,83.9,108.5
Germany,74.3,29.1,52.5,58.9,71.2,125.0
United States,73.0,38.5,56.3,73.9,70.0,127.6
Canada,72.5,30.8,52.4,71.4,68.7,118.9
Malta,70.9,29.3,50.9,59.8,75.1,66.2
United Arab Emirates,67.2,60.7,64.1,55.6,63.3,124.8
Puerto Rico,67.0,18.7,43.7,66.3,55.7,103.8
Uruguay,66.9,20.0,44.3,54.5,69.2,34.3
Taiwan,65.4,15.1,41.1,79.2,28.9,106.4
Qatar,65.4,65.3,65.3,57.5,64.8,125.0
Greece,63.2,11.8,38.4,50.9,61.7,53.8
Spain,61.8,22.2,42.7,51.3,60.6,90.7
Jamaica,60.6,12.5,37.4,60.2,39.7,35.3
Cyprus,60.3,15.4,38.7,49.7,65.4,94.8
Lebanon,60.2,27.9,44.7,46.2,58.7,56.4
Ghana,59.8,32.8,46.8,54.9,37.4,16.0
Slovenia,59.6,15.5,38.4,50.8,48.9,80.3
Bahrain,59.6,31.0,45.8,58.0,54.2,72.3
Palestine,58.2,10.3,35.1,54.4,41.8,60.2
Estonia,57.6,15.8,37.5,43.8,56.8,74.8
Kuwait,56.9,36.3,47.0,44.0,48.5,100.6
Costa Rica,56.2,17.6,37.6,55.6,45.9,54.7
Portugal,55.9,20.4,38.8,45.5,46.8,62.0
