Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Switzerland,121.2,50.2,87.1,120.8,123.1,129.7
Iceland,101.9,48.3,76.1,92.1,111.8,91.8
Norway,101.0,37.3,70.4,92.7,111.5,103.6
Bahamas,92.4,33.5,64.1,77.0,99.9,57.0
Luxembourg,86.1,55.6,71.5,75.1,96.1,106.3
Japan,83.3,28.0,56.7,83.6,48.8,103.1
Denmark,81.4,32.9,58.1,63.6,95.1,114.4
Hong Kong,78.1,76.8,77.5,80.3,56.1,69.3
South Korea,76.9,22.2,50.7,89.7,44.8,103.4
Ireland,75.3,41.8,59.2,59.1,82.6,95.1
France,74.9,26.2,51.5,68.3,75.4,91.6
Netherlands,74.8,34.7,55.6,58.8,83.5,102.5
Israel,74.3,29.4,52.7,61.9,80.8,92.5
Belgium,73.0,25.8,50.3,60.9,83.4,95.1
Finland,72.8,26.1,50.4,60.0,77.9,112.3
New Zealand,72.6,31.6,52.9,65.7,68.8,101.1
Australia,72.1,35.5,54.5,66.9,70.7,122.9
Austria,71.8,27.6,50.6,65.6,70.1,96.7
Sweden,71.6,26.0,49.7,63.5,75.0,111.4
United States,69.9,39.0,55.1,67.4,69.3,122.0
Singapore,69.8,53.1,61.8,57.5,46.7,103.8
Italy,69.2,21.7,46.4,58.3,75.7,77.5
Germany,67.6,26.8,48.0,54.3,63.6,116.2
United Kingdom,65.3,28.6,47.7,51.9,72.4,105.7
Canada,65.0,28.3,47.4,62.4,61.8,109.4
Puerto Rico,63.8,18.0,41.8,61.7,54.8,98.4
Malta,63.3,28.7,46.7,51.2,67.3,59.7
Taiwan,59.8,23.4,42.3,69.6,26.9,56.4
Qatar,59.1,46.6,53.1,47.7,61.9,138.3
Jamaica,58.8,14.7,37.6,58.8,42.3,34.7
Lebanon,58.1,26.9,43.1,43.3,56.8,54.0
Uruguay,57.3,16.2,37.6,45.1,56.3,47.8
Bahrain,56.7,29.6,43.7,51.2,52.2,74.6
Greece,56.7,10.8,34.6,43.7,54.8,49.6
United Arab Emirates,56.2,41.0,48.9,43.2,53.9,119.6
Cyprus,55.6,20.2,38.6,44.3,59.8,75.3
Jordan,55.0,11.9,34.3,44.4,52.3,41.7
Spain,54.7,20.7,38.4,44.0,54.1,83.8
