Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Bermuda,141.7,99.0,121.4,142.6,144.7,82.3
Switzerland,110.3,50.2,81.7,113.3,104.3,116.2
Bahamas,88.3,38.4,64.5,71.9,94.3,44.2
Barbados,87.1,21.2,55.7,81.7,74.5,32.6
Iceland,86.6,35.8,62.4,82.4,88.6,82.6
Norway,85.9,30.6,59.6,81.3,87.6,86.3
Jersey,80.4,55.4,68.5,64.5,89.2,68.7
Singapore,79.1,65.1,72.4,71.4,52.2,94.6
Israel,77.3,32.9,56.2,66.4,83.9,73.5
Hong Kong,76.6,68.0,72.5,82.5,53.2,66.9
Denmark,73.1,29.2,52.2,59.9,81.1,99.8
Australia,72.3,35.7,54.9,72.7,64.1,117.6
Luxembourg,72.1,47.9,60.6,67.3,73.7,96.1
Guernsey,70.9,45.6,58.9,65.9,71.8,70.6
United States,69.9,46.9,59.0,70.1,65.7,99.9
New Zealand,69.0,29.4,50.2,67.7,63.9,85.0
Canada,68.8,35.1,52.7,68.1,64.3,101.7
Lebanon,68.5,20.7,45.8,68.2,48.9,32.0
Macao,68.4,36.6,53.3,73.6,48.7,72.8
Netherlands,67.7,33.4,51.4,58.1,64.7,99.6
South Korea,67.0,16.5,42.9,84.5,36.8,81.3
Ireland,66.7,44.2,56.0,54.2,66.7,75.2
France,65.6,24.9,46.2,63.2,63.6,79.6
Puerto Rico,64.6,21.6,44.1,66.1,53.6,65.4
Austria,64.1,22.8,44.4,58.0,60.7,75.1
Finland,63.7,21.9,43.8,56.4,63.6,91.0
Belgium,62.8,21.5,43.1,53.2,65.9,86.3
Japan,62.8,20.9,42.8,66.6,35.6,91.1
Sweden,61.8,23.1,43.4,54.9,62.3,94.9
Qatar,60.6,50.4,55.7,51.6,58.5,98.1
United Kingdom,60.4,31.0,46.4,48.7,63.7,92.9
Germany,59.6,26.0,43.6,48.6,52.4,102.7
Uruguay,59.1,15.0,38.1,48.7,57.7,28.6
Italy,58.5,21.0,40.6,49.9,59.1,58.0
United Arab Emirates,58.0,37.3,48.2,46.7,53.9,118.9
Malta,57.7,24.7,42.0,50.8,58.8,44.8
Taiwan,55.9,15.4,36.7,67.0,27.0,61.8
Maldives,54.5,27.4,41.6,53.0,32.3,31.8
Cuba,54.0,16.4,36.1,48.4,31.6,1.5
Bahrain,53.8,27.6,41.4,43.5,47.3,60.4
Trinidad And Tobago,53.4,14.1,34.7,52.8,50.6,37.4
Cyprus,52.5,23.4,38.6,43.2,52.6,54.5
Jamaica,50.8,14.8,33.7,52.6,35.5,26.3
Saudi Arabia,50.3,11.3,31.8,42.5,36.7,93.3
Palestine,50.2,9.5,30.9,44.1,37.6,38.8
Greece,50.2,12.4,32.2,39.3,46.2,38.4
Belize,49.5,11.9,31.6,46.2,32.3,41.6
Estonia,49.5,14.7,32.9,39.6,47.8,60.4
Panama,48.3,19.5,34.6,47.3,40.1,32.7
Oman,48.1,15.4,32.5,45.1,39.8,78.8
Russia,48.1,16.0,32.8,41.2,44.2,42.2
Jordan,47.5,8.9,29.2,39.9,39.4,32.2
Spain,47.5,21.4,35.1,39.5,47.5,77.3
Slovenia,47.3,15.3,32.1,42.1,39.4,57.9
Guyana,46.9,8.4,28.6,50.3,37.1,19.7
Kuwait,46.0,27.7,37.3,33.3,42.0,81.8
Cambodia,45.7,14.0,30.6,46.0,20.6,14.0
Latvia,45.2,10.0,28.5,35.9,37.9,49.8
Czech Republic,44.3,18.3,31.9,37.6,33.4,69.9
Croatia,43.7,11.6,28.5,37.3,36.5,52.8
Costa Rica,43.6,13.3,29.2,42.4,36.3,38.6
Brunei,43.4,18.3,31.4,46.4,27.9,87.3
Lithuania,43.1,15.3,29.9,35.4,39.2,55.7
El Salvador,42.9,13.1,28.8,43.2,32.3,20.5
Zimbabwe,42.5,9.7,26.9,37.7,34.3,17.3
Portugal,42.2,20.7,32.0,33.8,34.9,47.9
Dominican Republic,42.0,10.3,26.9,38.0,34.4,21.6
Venezuela,41.8,8.1,25.7,36.1,42.9,12.7
Ethiopia,41.7,17.4,30.2,35.0,19.5,11.0
Guatemala,41.3,14.9,28.8,40.6,29.0,26.9
Slovakia,41.0,13.8,28.1,38.3,30.6,53.8
Mauritius,40.7,9.8,26.0,41.1,30.7,29.3
China,40.3,22.1,31.7,42.9,29.0,56.2
Fiji,39.4,15.1,27.8,44.1,32.2,38.7
Armenia,39.0,17.5,28.8,33.9,32.2,26.0
Honduras,38.9,9.1,24.7,33.8,26.2,31.4
Thailand,38.6,12.5,26.2,40.5,19.8,30.8
Ivory Coast,38.2,13.7,26.5,33.4,25.6,7.8
South Africa,37.9,14.8,26.9,31.1,35.0,77.8
Bulgaria,37.6,9.6,24.3,33.5,31.8,46.9
Nicaragua,37.2,8.2,23.4,35.7,25.1,19.6
Chile,37.2,11.4,24.9,34.1,33.7,35.8
Botswana,36.5,8.3,23.1,32.5,37.4,59.9
Iran,36.5,16.4,26.9,28.0,25.4,18.0
Ecuador,35.7,9.7,23.4,33.0,25.8,33.6
Namibia,35.6,11.6,24.2,33.0,37.4,51.0
Vietnam,35.6,11.7,24.2,36.4,18.2,28.2
Mexico,35.1,12.0,24.2,34.8,31.9,41.1
Poland,35.1,14.2,25.1,28.4,31.4,60.7
Romania,34.9,10.0,23.1,30.5,29.7,48.8
Georgia,34.9,15.4,25.6,30.4,32.1,25.1
Brazil,34.8,8.5,22.3,30.0,25.6,27.3
Montenegro,34.7,11.1,23.5,29.2,27.5,37.2
Hungary,34.6,11.1,23.5,30.9,28.2,53.2
Malaysia,34.4,9.7,22.7,37.1,19.8,59.4
Mongolia,33.7,9.1,22.0,34.5,26.4,23.6
Philippines,33.6,10.3,22.5,33.6,20.1,20.1
Albania,33.6,8.2,21.5,27.7,22.9,28.7
Kenya,33.4,7.5,21.0,31.4,28.1,32.2
Serbia,33.3,7.5,21.1,26.8,27.2,41.6
Myanmar,33.1,19.3,26.5,35.6,18.2,28.1
Bolivia,32.6,8.5,21.1,29.1,23.0,36.5
Cameroon,32.5,5.5,19.7,33.3,21.5,16.9
Bosnia And Herzegovina,32.2,5.3,19.4,28.6,20.8,46.5
Indonesia,32.2,8.2,20.8,35.1,16.7,25.5
Argentina,32.1,6.9,20.1,26.8,28.0,33.6
Somalia,31.9,5.0,19.1,35.0,24.8,30.7
Iraq,31.8,9.4,21.2,27.8,25.9,43.6
Uganda,31.4,9.0,20.8,28.7,22.0,11.8
Rwanda,30.8,13.4,22.5,26.7,25.0,26.3
Peru,30.7,10.2,21.0,29.2,20.2,28.5
Ukraine,30.7,10.8,21.2,27.1,26.2,36.3
Paraguay,30.2,9.5,20.4,26.2,22.4,25.4
Tanzania,30.1,10.1,20.6,28.2,21.4,17.7
Nigeria,30.0,32.8,31.4,33.1,20.0,8.2
Ghana,30.0,17.9,24.2,31.1,22.7,17.1
Morocco,29.7,7.3,19.0,26.4,20.4,32.7
Bangladesh,29.3,3.6,17.0,28.0,17.5,25.3
Moldova,28.9,7.4,18.7,24.4,24.0,33.4
North Macedonia,28.5,5.0,17.4,24.8,19.4,35.6
Turkey,28.4,6.5,18.0,23.7,17.2,28.0
Azerbaijan,28.3,6.4,17.9,25.7,24.9,29.4
Kazakhstan,26.5,8.4,17.9,23.7,25.2,35.2
Belarus,26.4,8.3,17.8,24.2,25.8,32.3
Uzbekistan,26.3,9.8,18.5,25.3,22.6,24.1
Egypt,26.3,5.5,16.4,24.6,22.1,21.7
Nepal,26.2,3.8,15.5,24.6,18.1,20.0
Kyrgyzstan,25.8,7.6,17.2,25.4,21.1,23.9
Syria,25.8,4.4,15.6,23.7,18.3,5.7
Tunisia,25.5,4.9,15.7,24.9,14.1,28.6
Colombia,25.2,7.8,16.9,23.0,18.3,28.3
Kosovo (Disputed Territory),25.2,6.9,16.5,23.5,15.9,38.9
Algeria,25.1,3.8,15.0,27.4,12.5,25.4
Libya,24.6,5.1,15.3,24.9,19.7,30.1
India,23.9,6.2,15.4,25.6,16.4,76.4
Sri Lanka,22.4,5.7,14.4,26.9,11.0,15.3
Pakistan,17.8,3.4,11.0,15.8,13.6,24.4
