Rank,Crime Index,Safety Index
Venezuela,85.7,14.3
Guatemala,84.9,15.1
Trinidad And Tobago,83.6,16.4
South Africa,76.7,23.3
Kenya,74.3,25.7
Honduras,73.0,27.0
Uzbekistan,72.3,27.7
Puerto Rico,70.5,29.5
Malaysia,67.7,32.3
Costa Rica,66.7,33.3
Uganda,66.0,34.0
Brazil,62.6,37.4
Syria,62.3,37.7
Pakistan,61.5,38.5
Paraguay,60.7,39.3
Nigeria,60.6,39.4
Kyrgyzstan,60.1,39.9
Ecuador,59.7,40.3
Bangladesh,59.4,40.6
Argentina,59.3,40.7
Dominican Republic,58.1,41.9
Peru,58.0,42.0
Eritrea,57.8,42.2
Iraq,56.2,43.8
Mexico,56.2,43.8
Iran,56.1,43.9
Philippines,54.9,45.1
Monaco,54.7,45.3
Colombia,54.2,45.8
Jamaica,53.9,46.1
United States,53.4,46.6
Vietnam,53.0,47.0
Kazakhstan,52.9,47.1
Zimbabwe,52.9,47.1
Russia,52.4,47.6
Angola,52.3,47.7
Algeria,51.8,48.2
Mauritius,51.5,48.5
France,51.1,48.9
El Salvador,50.6,49.4
Greece,49.8,50.2
Italy,49.5,50.5
Ukraine,48.9,51.1
Egypt,48.7,51.3
Panama,48.5,51.5
Israel,48.3,51.7
Lebanon,47.3,52.7
Albania,47.0,53.0
Mongolia,46.9,53.1
Bolivia,46.4,53.6
Latvia,45.7,54.3
Tunisia,45.5,54.5
Uruguay,45.0,55.0
Ireland,45.0,55.0
Australia,44.4,55.6
Laos,44.3,55.7
Jordan,43.4,56.6
Bosnia And Herzegovina,43.3,56.7
Belgium,42.9,57.1
India,42.1,57.9
Nicaragua,41.9,58.1
New Zealand,41.8,58.2
Moldova,41.7,58.3
Bulgaria,41.5,58.5
Serbia,41.2,58.8
Armenia,41.1,58.9
Thailand,40.5,59.5
Indonesia,40.5,59.5
Chile,40.3,59.7
United Kingdom,39.8,60.2
Sri Lanka,39.7,60.3
Poland,38.9,61.1
Nepal,38.2,61.8
Netherlands,37.5,62.5
Namibia,37.3,62.7
Azerbaijan,36.7,63.3
Turkey,35.2,64.8
Slovakia,35.2,64.8
Canada,35.0,65.0
Portugal,35.0,65.0
Lithuania,34.6,65.4
Morocco,34.3,65.7
Czech Republic,34.1,65.9
Spain,34.1,65.9
Cyprus,34.0,66.0
Hungary,33.7,66.3
Cambodia,32.8,67.2
Finland,32.7,67.3
Croatia,32.3,67.7
Sweden,31.8,68.2
Saudi Arabia,31.7,68.3
Denmark,30.7,69.3
Austria,30.4,69.6
Brunei,30.1,69.9
Romania,30.0,70.0
North Macedonia,29.7,70.3
Slovenia,29.6,70.4
Switzerland,27.6,72.4
Kuwait,27.0,73.0
China,26.9,73.1
Belarus,26.8,73.2
Montenegro,26.6,73.4
Qatar,26.2,73.8
Ethiopia,26.0,74.0
Norway,25.6,74.4
Estonia,24.2,75.8
Germany,23.9,76.1
Iceland,22.3,77.7
Singapore,20.0,80.0
Bahrain,19.8,80.2
Georgia,19.6,80.4
Luxembourg,18.8,81.2
Malta,18.5,81.5
United Arab Emirates,18.0,82.0
South Korea,17.4,82.6
Hong Kong,16.6,83.4
Taiwan,16.3,83.7
Japan,13.1,86.9
