Country,Crime,Safety
Venezuela,84.9,15.1
Papua New Guinea,81.9,18.1
Honduras,79.4,20.6
South Sudan,78.2,21.8
South Africa,77.5,22.5
Nigeria,73.0,27.0
El Salvador,71.5,28.5
Trinidad And Tobago,70.9,29.1
Brazil,70.6,29.4
Bangladesh,67.4,32.6
Syria,67.2,32.8
Dominican Republic,66.0,34.0
Kenya,66.0,34.0
Jamaica,65.7,34.3
Malaysia,65.6,34.4
Puerto Rico,65.5,34.5
Angola,64.6,35.4
Peru,63.8,36.2
Argentina,63.1,36.9
Namibia,62.2,37.8
Tanzania,62.1,37.9
Somalia,61.7,38.3
Guatemala,60.0,40.0
Bolivia,59.6,40.4
Mongolia,58.2,41.8
Costa Rica,56.8,43.2
Libya,56.5,43.5
Egypt,56.5,43.5
Pakistan,56.4,43.6
Iraq,55.8,44.2
Zimbabwe,55.4,44.6
Mauritius,55.1,44.9
Vietnam,53.5,46.5
Uruguay,53.1,46.9
Cambodia,52.7,47.3
Panama,52.2,47.8
Thailand,52.2,47.8
Iran,51.9,48.1
Ecuador,51.2,48.8
Colombia,50.7,49.3
Mexico,50.4,49.6
Indonesia,49.5,50.5
Ukraine,49.4,50.6
Algeria,49.2,50.8
Lebanon,49.2,50.8
United States,48.7,51.3
Montenegro,48.6,51.4
Ethiopia,48.3,51.7
Chile,48.0,52.0
Russia,47.4,52.6
Moldova,47.3,52.7
Ghana,47.2,52.8
Kazakhstan,47.2,52.8
Morocco,46.9,53.1
Ireland,46.4,53.6
Maldives,46.4,53.6
Albania,46.0,54.0
Sri Lanka,45.8,54.2
Sweden,45.1,54.9
Italy,45.0,55.0
Belgium,44.9,55.1
India,44.8,55.2
Jordan,44.0,56.0
France,43.4,56.6
United Kingdom,42.4,57.6
Australia,42.0,58.0
Bulgaria,42.0,58.0
Lithuania,41.6,58.4
Bosnia And Herzegovina,41.4,58.6
Nepal,40.9,59.1
Hungary,40.8,59.2
Serbia,39.9,60.1
Tunisia,39.8,60.2
Canada,39.5,60.5
Turkey,39.5,60.5
Greece,39.4,60.6
Norway,39.4,60.6
Philippines,39.0,61.0
North Macedonia,38.5,61.5
New Zealand,37.8,62.2
Latvia,36.7,63.3
Bahrain,35.3,64.7
Luxembourg,35.1,64.9
Brunei,34.7,65.3
Portugal,34.5,65.5
Kuwait,34.3,65.7
Germany,32.7,67.3
Poland,32.6,67.4
Spain,32.1,67.9
China,31.5,68.5
Israel,31.3,68.7
Czech Republic,31.3,68.7
Slovakia,31.2,68.8
Netherlands,30.9,69.1
Azerbaijan,30.8,69.2
Romania,30.5,69.5
Iceland,30.5,69.5
Cyprus,30.1,69.9
Armenia,29.0,71.0
Croatia,28.7,71.3
Belarus,27.2,72.8
Finland,26.5,73.5
Malta,26.3,73.7
Estonia,25.9,74.1
Oman,25.8,74.2
Saudi Arabia,25.5,74.5
Slovenia,24.8,75.2
Switzerland,24.4,75.6
Denmark,23.5,76.5
United Arab Emirates,22.2,77.8
Austria,21.7,78.3
Qatar,20.4,79.6
Hong Kong,20.3,79.7
Japan,20.0,80.0
Taiwan,19.5,80.5
Georgia,19.3,80.7
Singapore,16.5,83.5
South Korea,15.0,85.0
