Rank,Crime Index,Safety Index
Venezuela,84.9,15.1
Papua New Guinea,80.3,19.7
South Africa,77.0,23.0
Honduras,75.8,24.2
Afghanistan,73.3,26.7
Trinidad And Tobago,73.2,26.8
Brazil,69.5,30.5
El Salvador,68.6,31.4
Namibia,68.1,31.9
Syria,66.9,33.1
Jamaica,65.3,34.7
Bangladesh,65.0,35.0
Puerto Rico,64.7,35.3
Nigeria,64.6,35.4
Peru,64.6,35.4
Kazakhstan,64.2,35.8
Argentina,63.0,37.0
Kenya,62.4,37.6
Libya,61.3,38.7
Malaysia,60.7,39.3
Dominican Republic,60.6,39.4
Fiji,60.5,39.5
Tanzania,59.8,40.2
Somalia,58.7,41.3
Mongolia,57.8,42.2
Uganda,56.5,43.5
Guatemala,56.0,44.0
Costa Rica,55.8,44.2
Algeria,54.4,45.6
Bolivia,54.3,45.7
Zimbabwe,53.8,46.2
Maldives,53.8,46.2
Botswana,52.9,47.1
Colombia,52.5,47.5
Mexico,52.5,47.5
Uruguay,52.3,47.7
Cambodia,51.8,48.2
Ghana,51.6,48.4
Morocco,49.5,50.5
Ukraine,49.0,51.0
Iran,49.0,51.0
Ecuador,48.9,51.1
Egypt,48.5,51.5
Vietnam,48.2,51.8
Ethiopia,47.5,52.5
Mauritius,47.3,52.7
Sweden,47.2,52.8
Chile,47.1,52.9
United States,46.7,53.3
France,46.5,53.5
Iraq,46.4,53.6
Indonesia,46.3,53.7
Ireland,46.2,53.8
Moldova,45.7,54.3
Panama,45.5,54.5
Pakistan,44.6,55.4
Italy,44.3,55.7
Nicaragua,44.3,55.7
United Kingdom,43.6,56.4
Bosnia And Herzegovina,43.6,56.4
Lebanon,43.4,56.6
Jordan,42.9,57.1
Australia,42.7,57.3
Belgium,42.5,57.5
India,42.4,57.6
Russia,41.7,58.3
Thailand,41.3,58.7
Philippines,41.1,58.9
New Zealand,40.9,59.1
Tunisia,40.6,59.4
Sri Lanka,40.1,59.9
Albania,40.0,60.0
Turkey,39.9,60.1
Montenegro,39.7,60.3
Canada,39.5,60.5
Bulgaria,39.3,60.7
Greece,39.3,60.7
Palestine,39.3,60.7
North Macedonia,39.2,60.8
Malta,37.7,62.3
Serbia,37.6,62.4
China,36.7,63.3
Latvia,36.6,63.4
Nepal,35.7,64.3
Kuwait,35.6,64.4
Hungary,35.4,64.6
Lithuania,34.8,65.2
Germany,34.6,65.4
Norway,33.5,66.5
Azerbaijan,32.7,67.3
Spain,31.1,68.9
Israel,30.7,69.3
Luxembourg,30.2,69.8
Portugal,30.1,69.9
Poland,29.7,70.3
Cyprus,29.6,70.4
South Korea,29.2,70.8
Bahrain,29.2,70.8
Slovakia,29.2,70.8
Netherlands,28.5,71.5
Saudi Arabia,28.2,71.8
Brunei,28.1,71.9
Romania,27.8,72.2
Singapore,27.7,72.3
Cuba,27.6,72.4
Czech Republic,26.0,74.0
Belarus,24.8,75.2
Denmark,24.7,75.3
Croatia,24.2,75.8
Austria,23.2,76.8
Iceland,23.2,76.8
Finland,22.7,77.3
Estonia,22.2,77.8
Slovenia,22.0,78.0
Oman,21.6,78.4
Switzerland,21.2,78.8
Armenia,20.8,79.2
Georgia,20.2,79.8
Hong Kong,18.1,81.9
Taiwan,16.2,83.8
Japan,15.9,84.1
United Arab Emirates,15.5,84.5
Qatar,12.0,88.0
