Country,Crime,Safety
Venezuela,84.5,15.5
Papua New Guinea,81.9,18.1
South Africa,77.5,22.5
Afghanistan,76.2,23.8
Honduras,76.1,23.9
Trinidad And Tobago,73.2,26.8
Brazil,68.9,31.1
Peru,68.2,31.8
El Salvador,68.0,32.0
Guyana,67.7,32.3
Namibia,67.2,32.8
Syria,66.5,33.5
Jamaica,66.0,34.0
Puerto Rico,65.6,34.4
Angola,65.0,35.0
Bangladesh,63.9,36.1
Nigeria,63.8,36.2
Bahamas,62.9,37.1
Libya,62.2,37.8
Kazakhstan,62.0,38.0
Argentina,61.8,38.2
Kenya,61.7,38.3
Dominican Republic,61.2,38.8
Uganda,59.0,41.0
Tanzania,59.0,41.0
Fiji,58.9,41.1
Malaysia,58.8,41.2
Somalia,58.5,41.5
Mongolia,58.0,42.0
Guatemala,57.8,42.2
Zimbabwe,57.5,42.5
Costa Rica,56.3,43.7
Colombia,54.8,45.2
Mexico,54.0,46.0
Uruguay,53.8,46.2
Botswana,53.5,46.5
Maldives,53.2,46.8
Bolivia,52.9,47.1
Ecuador,50.9,49.1
Cambodia,50.7,49.3
Algeria,49.8,50.2
Paraguay,49.6,50.4
Iran,49.3,50.7
Ethiopia,49.2,50.8
Ghana,49.0,51.0
Ukraine,48.9,51.1
Morocco,48.7,51.3
Iraq,47.8,52.2
Mauritius,47.3,52.7
United States,47.2,52.8
Panama,47.2,52.8
Sweden,47.1,52.9
Egypt,46.9,53.1
France,46.8,53.2
Myanmar,45.9,54.1
Indonesia,45.8,54.2
Ireland,45.4,54.6
Vietnam,45.3,54.7
Chile,45.2,54.8
Moldova,45.0,55.0
Nicaragua,44.4,55.6
Italy,44.3,55.7
Pakistan,44.1,55.9
Belgium,44.0,56.0
United Kingdom,43.7,56.3
Palestine,43.6,56.4
Lebanon,43.4,56.6
India,43.3,56.7
Bosnia And Herzegovina,43.0,57.0
Philippines,42.2,57.8
Tunisia,41.9,58.1
Australia,41.4,58.6
Montenegro,41.2,58.8
Russia,41.1,58.9
New Zealand,40.9,59.1
Jordan,40.8,59.2
Thailand,40.5,59.5
Greece,40.3,59.7
Sri Lanka,40.2,59.8
Canada,39.7,60.3
Albania,39.5,60.5
Turkey,39.5,60.5
Malta,39.0,61.0
North Macedonia,38.7,61.3
Bulgaria,38.5,61.5
Serbia,37.4,62.6
Latvia,37.0,63.0
Norway,35.4,64.6
Hungary,35.1,64.9
Germany,34.8,65.2
Kuwait,34.8,65.2
Nepal,34.6,65.4
Luxembourg,33.4,66.6
Lithuania,33.1,66.9
Kosovo (Disputed Territory),32.9,67.1
Spain,32.0,68.0
China,31.8,68.2
Azerbaijan,31.6,68.4
Singapore,30.6,69.4
Cyprus,30.0,70.0
Portugal,29.6,70.4
Israel,29.6,70.4
Bahrain,29.3,70.7
Slovakia,29.2,70.8
Poland,28.5,71.5
South Korea,28.0,72.0
Brunei,27.7,72.3
Romania,27.6,72.4
Netherlands,27.6,72.4
Cuba,27.5,72.5
Saudi Arabia,26.2,73.8
Czech Republic,25.5,74.5
Denmark,25.1,74.9
Belarus,25.0,75.0
Croatia,24.7,75.3
Austria,23.7,76.3
Iceland,23.4,76.6
Finland,23.3,76.7
Estonia,23.1,76.9
Armenia,21.6,78.4
Switzerland,21.6,78.4
Slovenia,21.1,78.9
Oman,20.8,79.2
Hong Kong,20.7,79.3
Japan,20.7,79.3
Georgia,20.2,79.8
United Arab Emirates,15.7,84.3
Taiwan,15.7,84.3
Qatar,11.9,88.1
