Rank,Crime Index,Safety Index
Venezuela,84.2,15.8
Papua New Guinea,80.2,19.8
South Africa,77.1,22.9
Afghanistan,76.4,23.6
Honduras,74.8,25.2
Trinidad And Tobago,70.9,29.1
El Salvador,68.8,31.2
Guyana,68.7,31.3
Syria,68.1,31.9
Brazil,67.8,32.2
Jamaica,67.5,32.5
Angola,66.6,33.4
Peru,66.6,33.4
Namibia,65.9,34.1
Bangladesh,64.2,35.8
Nigeria,63.9,36.1
Puerto Rico,63.4,36.6
Argentina,63.3,36.7
Bahamas,62.3,37.7
Libya,62.0,38.0
Kenya,61.4,38.6
Belarus,60.3,39.7
Dominican Republic,60.1,39.9
Zimbabwe,58.9,41.1
Guatemala,58.2,41.8
Fiji,57.9,42.1
Malaysia,57.9,42.1
Tanzania,56.6,43.4
Uganda,56.1,43.9
Somalia,56.0,44.0
Maldives,56.0,44.0
Colombia,55.8,44.2
Mongolia,55.6,44.4
Kyrgyzstan,55.4,44.6
Bolivia,55.4,44.6
Costa Rica,55.3,44.7
Mexico,55.0,45.0
Ecuador,54.4,45.6
Kazakhstan,54.0,46.0
Botswana,52.8,47.2
Chile,52.1,47.9
Algeria,51.9,48.1
Belize,51.3,48.7
Uruguay,51.2,48.8
Cambodia,51.2,48.8
Ethiopia,50.0,50.0
France,49.2,50.8
Iran,49.2,50.8
Morocco,49.1,50.9
Paraguay,49.0,51.0
Iraq,48.8,51.2
Ghana,48.5,51.5
Nicaragua,48.4,51.6
Ukraine,48.3,51.7
Mauritius,47.9,52.1
United States,47.7,52.3
Sweden,47.2,52.8
Myanmar,47.2,52.8
Lebanon,47.0,53.0
Egypt,46.8,53.2
Moldova,46.6,53.4
Indonesia,46.2,53.8
Vietnam,46.1,53.9
Panama,45.8,54.2
United Kingdom,45.3,54.7
Ireland,45.0,55.0
India,44.7,55.3
Italy,44.4,55.6
Belgium,44.2,55.8
Greece,44.1,55.9
Palestine,44.0,56.0
Pakistan,43.9,56.1
Tunisia,43.4,56.6
Zambia,43.2,56.8
Bosnia And Herzegovina,43.0,57.0
Australia,42.4,57.6
New Zealand,42.3,57.7
Philippines,42.2,57.8
Albania,41.6,58.4
Montenegro,41.6,58.4
Sri Lanka,41.2,58.8
Canada,41.2,58.8
Jordan,40.7,59.3
Russia,40.1,59.9
Turkey,39.5,60.5
Thailand,39.4,60.6
Malta,38.9,61.1
North Macedonia,38.6,61.4
Serbia,38.3,61.7
Bulgaria,38.1,61.9
Latvia,37.2,62.8
Kosovo (Disputed Territory),36.1,63.9
Nepal,35.7,64.3
Germany,35.4,64.6
Hungary,34.8,65.2
Uzbekistan,34.7,65.3
Kuwait,34.0,66.0
Lithuania,33.8,66.2
Norway,33.4,66.6
Spain,33.1,66.9
Singapore,33.0,67.0
Luxembourg,32.2,67.8
Cyprus,32.0,68.0
Azerbaijan,31.7,68.3
Israel,31.2,68.8
China,30.2,69.8
Portugal,29.9,70.1
Slovakia,29.7,70.3
Poland,29.3,70.7
Cuba,29.1,70.9
Romania,28.3,71.7
Brunei,28.0,72.0
Netherlands,27.2,72.8
Finland,27.0,73.0
South Korea,26.9,73.1
Denmark,26.7,73.3
Bahrain,26.1,73.9
Saudi Arabia,25.9,74.1
Czech Republic,25.3,74.7
Rwanda,25.3,74.7
Austria,25.2,74.8
Croatia,24.9,75.1
Iceland,24.1,75.9
Estonia,23.4,76.6
Armenia,23.3,76.7
Georgia,22.6,77.4
Japan,22.0,78.0
Slovenia,21.8,78.2
Hong Kong,21.7,78.3
Switzerland,21.3,78.7
Isle Of Man,20.8,79.2
Oman,20.3,79.7
United Arab Emirates,15.4,84.6
Taiwan,15.2,84.8
Qatar,12.3,87.7
