Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Norway,173.8,69.0,123.5,162.5,183.3,95.9
Switzerland,151.8,70.9,113.0,153.1,142.4,137.3
Australia,133.7,72.7,104.4,128.7,116.4,103.0
Luxembourg,124.8,67.7,97.4,111.8,130.8,121.4
Denmark,119.9,42.9,83.0,104.0,130.5,102.1
Japan,115.2,43.8,81.0,112.8,70.0,86.0
Sweden,114.5,36.1,76.9,105.6,110.1,106.6
New Zealand,113.6,46.1,81.2,111.7,93.5,80.6
Bahrain,113.5,29.6,73.2,162.9,71.0,59.3
Iceland,112.4,39.3,77.3,118.8,99.7,67.9
Ireland,112.3,40.4,77.8,105.5,103.0,95.1
Venezuela,111.0,41.5,77.6,126.4,93.6,16.6
Belgium,108.0,39.2,75.0,90.1,115.6,94.1
Finland,107.0,40.4,75.0,101.3,100.2,94.1
Singapore,105.4,103.0,104.3,91.2,63.3,59.9
Netherlands,103.9,45.7,76.0,81.1,107.7,92.9
France,103.2,38.0,71.9,97.7,100.4,98.1
United Kingdom,102.2,41.1,72.9,93.1,94.3,89.1
Italy,101.4,36.2,70.1,87.3,107.4,70.4
Canada,99.6,39.8,70.9,101.2,85.6,109.6
Cyprus,98.6,25.0,63.3,89.3,101.2,72.5
Austria,97.9,36.8,68.6,92.8,81.4,87.5
Greece,92.6,18.6,57.1,74.7,95.5,49.4
Israel,92.2,32.3,63.5,76.9,90.1,72.6
Germany,91.6,33.2,63.6,80.7,79.7,117.6
Nigeria,87.2,17.9,53.9,92.9,62.5,32.7
Malta,85.6,20.6,54.4,73.7,77.6,77.8
Spain,83.1,29.1,57.2,66.5,81.0,84.0
Puerto Rico,82.6,25.0,54.9,83.5,65.0,94.1
Qatar,82.4,84.1,83.2,75.0,78.8,136.7
Slovenia,82.1,26.5,55.4,70.5,63.2,59.2
Uruguay,81.7,26.1,55.0,70.5,75.7,37.6
Kuwait,80.7,34.6,58.6,79.0,78.7,84.6
United States,80.5,37.4,59.8,80.7,67.9,136.5
South Korea,80.4,28.7,55.6,94.1,46.5,102.1
Azerbaijan,78.2,41.9,60.8,67.9,64.8,20.5
Hong Kong,77.8,88.6,83.0,79.8,54.5,80.3
Lebanon,75.6,38.5,57.8,58.1,65.2,42.5
United Arab Emirates,75.5,63.3,69.6,65.0,69.9,121.2
Portugal,75.3,24.3,50.8,61.2,59.1,54.1
Croatia,72.2,14.9,44.7,64.5,56.0,51.6
Saudi Arabia,72.2,15.7,45.1,74.5,36.5,114.6
Estonia,70.8,16.8,44.9,60.9,53.4,53.1
Argentina,70.4,20.1,46.3,64.5,65.4,50.2
Brazil,70.0,22.8,47.3,54.0,51.8,41.3
Russia,69.7,29.4,50.3,56.9,73.6,43.0
Chile,68.4,21.3,45.8,58.2,56.3,56.4
Latvia,68.0,15.3,42.7,55.4,58.4,41.3
Taiwan,67.8,20.5,45.1,80.0,31.7,73.0
Costa Rica,66.6,20.9,44.7,71.8,54.7,45.6
Dominican Republic,66.2,15.4,41.8,66.1,41.5,28.0
Slovakia,65.7,24.5,45.9,56.2,44.5,53.8
Jordan,65.5,15.6,41.6,56.8,56.4,36.2
Kazakhstan,65.2,26.6,46.6,51.3,67.4,32.2
Turkey,64.4,16.2,41.2,50.0,46.3,56.4
Hungary,63.9,12.6,39.3,50.9,47.3,43.0
