Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Bermuda,141.1,93.0,118.2,143.8,141.2,75.9
Switzerland,117.3,50.6,85.6,114.2,111.9,110.8
Cayman Islands,115.4,79.9,98.5,104.8,103.0,71.4
Bahamas,93.7,40.8,68.5,77.9,93.7,37.4
Iceland,87.7,39.4,64.7,83.9,93.4,100.4
Singapore,85.9,94.0,89.8,75.4,59.8,85.9
Barbados,84.2,20.4,53.8,77.7,83.6,34.3
Jersey,82.6,55.2,69.6,63.9,118.9,67.8
Norway,82.2,27.9,56.4,74.7,86.0,90.7
Denmark,79.2,30.9,56.2,64.2,93.9,96.9
Australia,75.4,38.8,58.0,72.9,73.8,89.3
United States,74.2,46.4,61.0,71.4,78.8,117.7
Hong Kong (China),72.4,61.0,67.0,77.9,48.7,68.8
Guernsey,71.8,48.1,60.5,67.7,73.7,79.2
Luxembourg,71.7,45.5,59.3,65.7,80.7,133.2
New Zealand,70.7,30.4,51.5,68.1,68.1,87.3
Ireland,70.4,42.7,57.2,57.4,76.6,80.0
Israel,70.0,28.1,50.1,58.9,81.8,76.3
South Korea,69.2,17.4,44.5,84.0,37.6,83.5
France,69.1,23.6,47.4,65.8,68.0,81.5
Austria,68.7,23.5,47.2,61.5,65.0,85.6
Finland,68.7,22.7,46.8,59.6,72.6,93.8
Puerto Rico,68.5,24.3,47.5,64.1,57.5,55.9
Canada,68.0,33.8,51.7,66.1,67.8,90.9
Netherlands,67.5,32.6,50.9,55.8,68.6,106.9
Germany,66.0,25.1,46.5,52.5,59.5,100.2
Belgium,65.8,22.4,45.2,55.7,73.6,90.7
Macao (China),65.0,32.6,49.6,70.5,47.2,78.7
United Kingdom,63.6,31.0,48.1,50.2,73.3,94.3
Isle Of Man,62.5,29.5,46.8,47.9,85.1,156.8
Uruguay,61.0,16.1,39.7,51.5,62.2,40.6
Italy,61.0,19.5,41.3,53.1,63.0,63.8
Sweden,60.9,21.2,42.0,54.3,61.8,95.3
United Arab Emirates,60.7,31.5,46.8,45.7,55.7,118.0
Malta,59.4,26.5,43.7,50.4,67.0,51.7
Qatar,59.3,45.3,52.6,44.4,57.2,120.2
Cyprus,59.2,28.2,44.4,46.8,63.2,52.6
Yemen,58.5,7.3,34.1,64.7,31.8,16.0
Bahrain,56.0,23.5,40.5,43.0,49.4,78.1
Estonia,55.9,16.1,37.0,43.5,57.4,62.7
Trinidad And Tobago,54.6,14.0,35.3,51.4,50.1,34.5
Jamaica,54.4,13.9,35.2,56.2,39.9,27.8
Japan,54.3,17.8,36.9,56.4,34.3,94.3
Brunei,54.2,16.1,36.0,65.7,31.6,73.5
Maldives,53.4,25.1,39.9,46.2,35.3,33.8
Taiwan,53.3,14.7,34.9,62.3,27.3,67.8
Greece,53.2,12.8,34.0,43.8,52.9,41.4
Lebanon,53.1,17.4,36.1,35.0,45.3,19.4
Cuba,53.0,17.7,36.2,48.0,30.2,1.5
Costa Rica,53.0,15.7,35.3,49.7,48.6,37.9
Czech Republic,52.8,19.3,36.8,44.2,38.8,67.9
Slovenia,51.6,17.7,35.5,45.8,46.8,59.6
Latvia,51.0,11.1,32.0,41.0,44.6,50.3
Saudi Arabia,50.1,11.9,31.9,41.0,35.8,98.7
Belize,50.0,10.6,31.2,46.3,29.9,44.2
Lithuania,49.9,17.2,34.3,41.4,51.3,54.8
Spain,49.9,20.9,36.1,41.9,50.3,83.6
Oman,49.6,15.0,33.1,40.2,39.6,106.2
Panama,48.2,20.8,35.1,45.3,44.0,33.3
Hungary,48.0,12.8,31.2,42.4,39.5,48.4
Guyana,47.9,11.4,30.5,47.9,47.2,20.0
Chile,47.7,13.8,31.6,44.5,46.6,33.9
Slovakia,47.5,15.0,32.0,42.0,36.7,51.2
Croatia,47.4,12.7,30.9,40.7,41.7,54.5
Portugal,46.1,21.9,34.6,38.2,40.9,49.8
Kuwait,46.1,25.5,36.3,33.1,42.8,106.9
Senegal,46.0,22.2,34.7,38.2,45.1,20.4
Jordan,45.3,8.1,27.6,37.3,41.4,34.9
Palestine,45.1,8.5,27.7,39.4,32.2,35.7
Ivory Coast,44.8,14.7,30.5,35.9,28.6,7.1
Poland,44.7,18.7,32.3,36.0,40.1,59.9
Armenia,43.1,24.4,34.2,36.0,43.3,28.0
Dominican Republic,43.1,11.7,28.2,37.6,37.8,21.5
Montenegro,42.4,15.7,29.7,35.5,37.9,38.2
Mexico,42.4,14.4,29.1,41.4,38.3,39.9
El Salvador,42.3,14.6,29.1,42.3,33.0,21.7
Ethiopia,42.3,17.2,30.3,35.7,20.5,11.0
Cameroon,42.3,16.9,30.2,35.0,40.4,8.7
Venezuela,41.8,6.5,25.0,37.6,43.9,11.3
Cambodia,41.7,11.8,27.5,41.6,26.0,16.1
Mauritius,41.0,11.1,26.8,39.2,31.5,28.6
Georgia,40.6,19.3,30.5,36.7,39.5,25.2
Serbia,40.5,14.1,27.9,35.5,34.0,34.9
Albania,40.4,9.6,25.7,35.3,32.8,28.3
Bulgaria,40.3,9.7,25.7,36.7,36.4,49.2
Zimbabwe,38.7,11.2,25.6,33.8,31.0,17.9
Thailand,38.5,12.6,26.2,40.7,20.6,31.7
Guatemala,38.5,13.8,26.7,38.0,28.7,29.2
Romania,38.4,9.8,24.8,33.8,34.3,47.5
Brazil,37.7,8.8,23.9,32.1,28.9,28.0
Honduras,37.7,10.2,24.6,33.3,28.7,33.3
Bosnia And Herzegovina,36.7,5.8,22.0,32.6,24.0,45.3
China,36.5,15.6,26.6,37.5,25.4,58.2
Belarus,36.3,9.2,23.4,30.8,38.1,35.9
Philippines,35.9,8.9,23.1,34.2,20.9,21.0
Moldova,35.9,9.1,23.1,30.3,29.7,34.0
Fiji,34.9,15.4,25.6,36.5,29.7,68.8
Nicaragua,34.9,8.4,22.3,36.5,25.2,18.7
South Africa,34.5,12.0,23.8,26.8,31.2,78.1
Vietnam,34.5,10.8,23.2,36.0,17.9,30.3
Kazakhstan,34.3,15.6,25.4,30.5,32.5,33.1
Ecuador,34.2,9.2,22.3,31.5,27.0,35.8
Sri Lanka,33.8,6.5,20.8,41.5,16.9,14.6
Peru,33.6,10.5,22.6,31.6,23.5,28.0
Myanmar,33.4,17.5,25.8,34.2,17.0,18.5
Iraq,32.6,9.0,21.3,27.1,24.8,39.2
North Macedonia,32.5,5.7,19.8,28.3,23.2,35.9
Mongolia,32.3,11.5,22.4,34.1,24.6,21.9
Malaysia,32.3,9.2,21.3,34.9,19.9,57.8
Russia,32.1,9.4,21.3,26.2,29.3,40.2
Botswana,31.9,7.0,20.0,28.5,26.7,61.9
Namibia,31.4,10.6,21.5,28.2,31.5,47.7
Uganda,31.3,8.2,20.3,27.3,23.8,12.8
Bolivia,30.9,8.1,20.0,26.6,22.7,29.7
Indonesia,30.8,9.2,20.5,34.4,16.4,24.7
Ukraine,30.7,9.3,20.5,27.1,26.1,31.2
Azerbaijan,30.6,8.3,20.0,27.2,28.1,28.6
Argentina,30.3,7.2,19.3,25.4,27.7,33.9
Morocco,30.1,7.5,19.4,27.5,20.8,31.2
Kyrgyzstan,29.9,11.2,21.0,26.8,24.2,22.8
Somalia,29.7,4.2,17.6,30.3,27.9,32.4
Kosovo (Disputed Territory),29.5,8.0,19.3,26.3,20.7,34.2
Paraguay,29.1,9.7,19.9,24.4,21.7,25.3
Tanzania,28.9,9.0,19.4,26.8,23.1,20.0
Kenya,28.9,7.1,18.5,26.6,23.5,31.0
Algeria,28.6,4.1,16.9,31.6,13.6,24.5
Ghana,28.5,19.8,24.4,27.5,25.9,13.7
Iran,28.4,10.9,20.1,21.0,19.6,21.6
Colombia,27.6,8.0,18.3,25.8,20.9,27.9
Tunisia,27.4,4.9,16.7,27.2,15.0,27.6
Turkey,27.1,8.5,18.2,23.7,20.0,32.5
Uzbekistan,26.6,11.4,19.4,25.5,22.0,25.5
Bangladesh,26.2,3.0,15.1,25.5,16.4,26.2
Nepal,25.9,3.7,15.3,22.7,17.5,21.2
Syria,25.2,4.2,15.2,22.9,19.2,4.7
Libya,23.9,5.1,14.9,22.6,19.3,31.6
Nigeria,23.2,16.4,20.0,24.5,18.2,9.4
India,22.9,5.5,14.6,23.1,16.1,61.7
Egypt,21.7,3.6,13.1,19.4,17.0,17.4
Pakistan,17.6,3.0,10.7,15.1,12.6,22.0
