Rank,Health Care Index,Health Care
Japan,96.1,179.4
Indonesia,94.1,175.0
Sri Lanka,93.5,174.2
Thailand,92.6,173.3
Israel,91.7,170.6
Denmark,89.8,168.2
Colombia,88.9,165.1
Malta,87.0,161.3
New Zealand,86.8,161.2
Sweden,86.8,162.0
Austria,83.2,153.8
Slovenia,82.9,152.7
Panama,82.4,153.5
Belgium,82.2,153.6
France,80.7,148.5
Mexico,80.1,147.2
Switzerland,79.5,153.5
Bolivia,79.2,146.0
Australia,79.1,144.9
Norway,79.0,147.1
Ecuador,77.8,151.2
Finland,77.1,145.2
Argentina,76.7,143.1
Philippines,76.1,142.1
United Kingdom,76.0,139.9
Taiwan,74.1,134.5
Canada,72.0,134.9
Germany,72.0,133.9
Jordan,70.8,132.6
Slovakia,70.4,131.5
Netherlands,70.4,136.9
Turkey,70.0,126.9
Portugal,70.0,129.9
Spain,69.9,130.3
Estonia,69.4,129.5
Malaysia,69.1,127.1
Italy,67.8,123.6
Georgia,67.1,123.4
Egypt,65.7,117.6
United States,65.5,122.2
Croatia,65.0,130.8
Czech Republic,65.0,123.2
Lithuania,64.6,122.2
United Arab Emirates,63.9,120.5
Pakistan,60.4,109.3
Bulgaria,60.3,114.5
Hungary,60.0,111.0
South Africa,59.5,105.1
India,59.4,105.1
Chile,59.3,105.5
Brazil,59.1,111.7
Singapore,59.0,113.3
Serbia,57.4,102.4
Bosnia And Herzegovina,57.4,108.8
Poland,55.8,99.7
Greece,51.8,93.9
Romania,48.4,85.9
Venezuela,45.4,91.1
Puerto Rico,44.7,84.5
Iran,43.4,77.1
Lebanon,43.3,77.1
Mongolia,43.1,84.6
Ireland,41.1,78.2
Saudi Arabia,40.7,73.3
Ukraine,40.3,80.7
China,36.1,59.3
Russia,35.5,63.8
