Country,Health_Care,Health_Exp.
Thailand,94.7,176.6
Israel,87.0,162.1
Denmark,86.1,160.0
France,85.6,159.4
Panama,82.4,153.5
Belgium,81.5,151.3
Austria,81.5,150.4
Taiwan,81.2,148.7
Sri Lanka,80.6,149.0
South Korea,80.6,148.8
Norway,80.5,150.4
Japan,80.1,145.8
Sweden,78.7,145.7
Argentina,78.3,146.8
Estonia,78.1,144.2
Malta,77.8,142.9
Colombia,77.3,140.4
Costa Rica,77.1,143.2
Finland,76.4,140.9
New Zealand,76.0,139.1
Spain,75.6,140.9
Australia,75.6,138.2
Jordan,75.4,139.6
Philippines,73.7,136.4
Germany,73.3,134.8
Canada,72.8,135.7
Mexico,72.1,130.8
Slovenia,72.1,134.6
Switzerland,72.0,137.4
Turkey,71.9,130.3
United Kingdom,71.3,131.7
Hong Kong,71.1,130.7
Lithuania,70.8,130.0
Cyprus,70.0,125.9
Georgia,69.0,126.2
Qatar,68.1,132.7
United States,67.8,126.3
Bolivia,67.4,125.4
Netherlands,66.8,125.2
North Macedonia,64.8,123.0
Iceland,64.8,123.6
Ecuador,64.8,121.4
Italy,64.8,119.5
Morocco,63.3,113.7
India,62.7,111.5
Czech Republic,62.0,117.8
Portugal,61.6,113.9
Chile,61.5,110.0
South Africa,61.3,111.0
China,60.9,108.2
Slovakia,60.0,110.2
United Arab Emirates,59.9,112.3
Malaysia,59.7,108.0
Egypt,59.1,104.6
Puerto Rico,59.0,112.6
Singapore,58.8,112.6
Poland,57.8,108.0
Brazil,57.6,107.1
Uruguay,57.2,104.6
Montenegro,56.9,103.7
Serbia,55.6,99.3
Bulgaria,54.6,100.5
Bosnia And Herzegovina,54.5,98.6
Cambodia,53.8,97.4
Peru,53.7,97.9
Hungary,51.0,95.3
Greece,50.4,89.3
Croatia,50.0,101.2
Ireland,49.0,94.8
Indonesia,48.5,84.4
Ukraine,47.9,85.1
Pakistan,47.9,84.7
Romania,46.1,81.5
Iran,45.7,79.6
Albania,44.4,82.2
Venezuela,44.4,76.5
Lebanon,43.3,77.1
Mongolia,43.1,84.6
Russia,39.3,69.0
Uganda,34.7,63.8
Saudi Arabia,34.2,65.4
Azerbaijan,28.7,50.4
