Country,Health_Care,Health_Exp.
Japan,87.1,160.4
Bahrain,84.4,155.5
Taiwan,84.3,155.0
France,82.6,152.4
Thailand,82.5,151.7
Malta,82.2,151.9
Panama,82.1,151.2
Hong Kong,80.6,148.1
Denmark,79.3,147.7
Dominican Republic,78.7,143.0
Austria,78.4,144.9
Cyprus,78.4,142.4
South Korea,78.1,142.6
Belgium,77.9,143.0
Turkmenistan,77.2,141.2
Israel,76.4,139.9
Sweden,76.3,140.3
Luxembourg,76.1,141.0
Qatar,75.9,141.2
Germany,75.6,138.9
Norway,75.5,139.2
Argentina,75.2,137.3
Sri Lanka,74.3,135.1
Cuba,74.0,137.8
Turkey,74.0,133.7
United Kingdom,73.9,135.7
Spain,73.2,135.6
Estonia,73.1,134.9
New Zealand,72.6,132.0
Australia,71.9,130.9
Philippines,71.7,129.2
Tunisia,71.0,128.9
Lithuania,70.1,127.2
Jordan,69.7,127.5
Canada,69.6,128.4
Finland,69.4,125.5
Malaysia,69.1,125.7
Colombia,68.9,123.6
Uruguay,67.9,123.9
Mexico,67.8,121.4
United States,67.8,126.2
Albania,67.4,122.5
Czech Republic,67.2,124.6
Netherlands,67.2,124.2
Latvia,67.1,125.5
India,66.9,119.8
Kuwait,66.6,124.5
Switzerland,66.3,125.2
Singapore,66.1,123.7
Indonesia,66.1,119.3
Italy,65.8,120.4
Lebanon,65.8,120.2
Portugal,65.6,118.9
Peru,64.7,119.3
Nepal,63.4,114.0
Ecuador,63.1,115.1
Kenya,62.7,114.0
Georgia,62.6,111.4
Costa Rica,62.0,110.7
South Africa,60.1,107.9
Saudi Arabia,59.0,108.0
Kazakhstan,58.9,110.3
Puerto Rico,58.7,110.2
China,58.7,105.7
Chile,58.5,106.5
Bulgaria,58.5,105.8
Iceland,58.4,108.7
Poland,58.0,105.5
Morocco,57.8,102.6
Slovakia,57.3,102.8
Croatia,57.3,105.3
Algeria,57.2,104.0
Montenegro,56.9,103.7
Greece,56.7,100.2
United Arab Emirates,55.6,103.8
Egypt,54.7,96.8
Paraguay,54.4,105.1
Trinidad And Tobago,54.4,98.7
Cambodia,54.2,97.6
Serbia,54.1,96.0
Slovenia,53.9,98.6
Moldova,52.7,102.4
Brazil,52.2,92.9
Bosnia And Herzegovina,52.1,93.2
Russia,51.8,90.2
Hungary,51.6,92.8
Pakistan,51.2,88.3
Iran,50.1,88.7
Bolivia,49.8,85.5
Ireland,49.5,90.0
Armenia,48.3,87.9
Oman,48.1,87.2
Romania,46.6,82.2
Belarus,45.4,80.7
Ukraine,44.3,77.5
Bangladesh,43.3,77.0
Guam,39.9,72.5
Venezuela,38.5,66.5
Nigeria,38.4,68.3
North Macedonia,35.1,66.2
Vietnam,34.3,60.2
Iraq,30.0,51.5
Mongolia,28.3,55.0
Azerbaijan,23.9,45.0
Honduras,16.1,33.3
