Country,Health_Care,Health_Exp.
Taiwan,82.8,151.4
South Korea,82.5,150.6
Netherlands,82.2,150.8
Japan,81.3,148.7
Thailand,80.6,147.2
Belgium,79.8,146.3
Austria,79.5,146.0
France,78.4,143.4
Spain,76.3,140.6
Denmark,76.2,140.5
Germany,76.0,138.7
Czech Republic,75.5,138.7
Australia,75.4,137.3
Israel,75.0,137.3
Norway,75.0,137.1
Finland,74.6,135.6
United Kingdom,74.3,136.0
Argentina,72.2,131.3
Estonia,71.8,131.4
Switzerland,71.7,134.7
New Zealand,71.6,129.9
Turkey,70.8,127.4
Sweden,70.6,129.6
Mexico,69.8,125.0
Canada,69.8,128.1
Portugal,69.7,126.2
United States,68.5,126.4
Singapore,68.5,127.0
Philippines,68.5,122.6
Indonesia,68.2,122.7
India,67.5,121.1
Colombia,66.8,119.8
Italy,66.7,121.2
Lithuania,66.3,119.4
Malaysia,65.7,118.0
Hong Kong,65.2,118.4
Slovenia,65.2,119.4
Croatia,65.1,120.1
Iceland,64.5,117.1
United Arab Emirates,63.3,116.2
Slovakia,63.2,114.7
North Macedonia,63.0,112.4
South Africa,62.6,112.2
Poland,62.3,112.3
Chile,61.8,112.1
China,61.6,110.0
Bosnia And Herzegovina,60.6,109.3
Saudi Arabia,60.3,107.7
Pakistan,56.9,99.8
Russia,56.1,98.7
Greece,54.6,96.3
Romania,53.8,94.7
Cyprus,53.6,93.3
Ireland,53.1,96.5
Serbia,53.1,96.2
Bulgaria,52.7,93.9
Brazil,52.4,92.8
Hungary,52.3,93.4
Iran,51.8,91.4
Ukraine,49.3,85.9
Egypt,42.9,73.7
Venezuela,40.2,69.2
