Rank,Health Care Index,Health Care
South Korea,83.2,152.1
Netherlands,82.5,151.3
Taiwan,81.1,148.1
Austria,80.9,148.9
Thailand,80.7,147.5
Sri Lanka,80.0,146.1
Belgium,78.9,144.4
Japan,78.6,143.3
France,78.6,144.0
Germany,76.7,140.3
Spain,76.7,141.2
Malta,76.2,139.0
Denmark,75.4,139.2
Finland,74.8,136.1
Israel,74.8,136.9
United Kingdom,74.3,135.9
Australia,74.2,135.1
Norway,74.2,135.8
Czech Republic,74.1,136.1
Argentina,73.3,133.7
Jordan,71.9,131.3
Turkey,71.7,129.2
Estonia,71.3,130.7
Switzerland,71.0,133.1
Sweden,70.6,129.6
New Zealand,70.6,127.9
Portugal,70.3,127.4
Mexico,70.1,125.7
Singapore,69.9,129.4
Ecuador,69.2,124.9
Canada,69.2,127.1
India,69.2,124.5
Philippines,69.2,124.1
Lithuania,68.7,123.7
United States,68.2,125.9
Hong Kong,68.0,124.2
Uruguay,67.1,120.7
Italy,66.3,120.5
Qatar,66.1,119.5
Malaysia,66.0,118.6
Colombia,65.8,117.8
Tunisia,65.7,117.4
Iceland,65.6,119.1
Croatia,65.5,121.0
Indonesia,64.8,115.9
Slovenia,64.4,117.5
Lebanon,64.3,118.5
North Macedonia,63.5,113.3
Slovakia,62.6,113.3
China,62.2,111.0
South Africa,61.7,110.7
Bosnia And Herzegovina,61.5,110.4
Poland,61.5,110.7
Chile,61.0,109.8
United Arab Emirates,60.5,111.2
Saudi Arabia,60.4,108.3
Costa Rica,60.2,107.7
Pakistan,59.0,104.4
Peru,58.5,104.8
Kuwait,57.6,105.9
Russia,56.4,99.2
Puerto Rico,56.3,103.9
Cyprus,54.2,94.5
Bulgaria,54.0,96.7
Greece,53.9,94.9
Serbia,53.9,97.4
Belarus,53.8,94.7
Hungary,53.5,95.4
Ireland,53.3,96.3
Romania,53.1,93.6
Nigeria,52.3,91.4
Brazil,51.7,91.5
Iran,51.6,91.4
Ukraine,49.8,86.7
Vietnam,47.9,81.7
Iraq,45.9,79.0
Morocco,44.5,75.4
Egypt,43.7,75.4
Bangladesh,43.5,75.2
Venezuela,36.9,63.5
