Country,Health_Care,Health_Exp.
Taiwan,86.2,158.6
South Korea,84.5,155.1
Japan,80.4,146.8
Belgium,79.4,145.3
Denmark,79.4,146.6
Austria,79.2,145.3
Thailand,79.1,144.3
France,78.6,143.9
Netherlands,77.8,142.1
Spain,77.8,143.2
Australia,76.4,139.1
Czech Republic,74.7,137.2
United Kingdom,74.7,137.0
Germany,74.3,135.5
Norway,74.1,135.4
New Zealand,73.6,133.7
Finland,73.5,133.3
Israel,73.4,134.4
Switzerland,72.7,137.0
Ecuador,72.5,130.5
Qatar,72.4,131.4
Sri Lanka,72.3,130.4
Estonia,72.1,131.8
Canada,71.0,130.3
Sweden,71.0,130.3
Portugal,70.7,128.3
Singapore,70.3,130.7
Mexico,69.7,124.9
United States,69.4,127.7
Argentina,69.4,126.2
Turkey,69.4,124.6
India,68.3,122.9
United Arab Emirates,68.0,125.5
Malaysia,67.6,121.6
Lithuania,67.6,122.1
Colombia,67.5,121.1
Hong Kong,67.3,122.1
Italy,67.1,121.8
Iceland,66.4,121.0
Jordan,66.1,119.6
Lebanon,65.9,122.5
Philippines,65.9,117.4
Chile,65.5,118.9
Uruguay,64.3,115.9
Croatia,64.1,117.8
China,64.0,114.9
Slovenia,62.8,115.4
South Africa,62.6,112.5
Costa Rica,62.6,112.3
Poland,62.2,111.6
Indonesia,62.0,110.2
Panama,61.4,109.2
Pakistan,60.6,107.1
Slovakia,60.1,108.4
Latvia,59.7,107.0
Tunisia,59.6,105.4
Saudi Arabia,59.1,105.3
North Macedonia,59.0,105.4
Belarus,58.0,103.5
Russia,57.6,101.6
Nepal,57.0,99.9
Kuwait,56.3,101.4
Nigeria,55.3,97.5
Greece,55.2,97.4
Peru,55.0,97.2
Brazil,54.6,97.0
Vietnam,54.5,94.5
Romania,54.5,95.8
Algeria,54.1,100.2
Bulgaria,54.0,95.6
Puerto Rico,54.0,98.7
Bosnia And Herzegovina,53.2,95.1
Serbia,52.6,94.8
Georgia,51.3,88.1
Kazakhstan,51.3,91.0
Iran,51.2,89.4
Ukraine,51.0,88.9
Cyprus,50.2,86.4
Ireland,48.6,87.5
Hungary,48.2,87.4
Egypt,44.2,75.6
Venezuela,41.2,71.9
Bangladesh,40.3,68.5
Morocco,36.9,61.1
