Rank,Health Care Index,Health Care
Taiwan,86.0,158.2
South Korea,83.0,152.1
Japan,80.5,146.9
France,80.0,146.5
Denmark,79.8,147.0
Spain,78.1,143.7
Australia,77.8,141.7
Thailand,77.6,141.3
Norway,77.1,141.0
Finland,76.8,139.9
Austria,76.2,138.7
Netherlands,75.9,138.5
Belgium,75.5,137.1
Czech Republic,75.5,138.6
Switzerland,75.3,140.6
United Kingdom,74.5,136.6
Estonia,73.9,135.3
Israel,73.7,135.0
Qatar,73.7,134.0
Lithuania,73.4,133.3
New Zealand,73.0,132.5
Mexico,72.8,131.4
Germany,72.4,131.7
Portugal,72.1,131.1
Sri Lanka,72.0,130.2
Luxembourg,71.5,129.1
Singapore,71.1,131.8
Canada,70.8,130.0
Turkey,70.7,127.3
Malaysia,70.1,126.4
United Arab Emirates,69.7,128.3
Argentina,69.0,125.1
United States,68.9,126.6
Ecuador,68.9,123.5
Sweden,68.8,125.9
Uruguay,68.0,122.8
Philippines,67.7,121.2
Colombia,67.5,121.2
Guatemala,67.0,119.6
China,66.7,119.7
Italy,66.7,120.8
Iceland,66.6,121.6
Hong Kong,66.2,120.1
India,65.6,117.3
Slovenia,65.1,120.1
Jordan,64.9,116.7
Chile,64.2,116.8
South Africa,64.0,115.3
Croatia,63.7,116.3
Kenya,63.4,113.0
Latvia,63.2,113.5
Costa Rica,63.0,113.5
Lebanon,62.9,117.4
Saudi Arabia,61.2,109.0
Panama,61.1,108.2
Indonesia,60.5,107.3
Slovakia,60.1,108.8
Kazakhstan,59.9,105.7
Russia,59.9,106.0
Pakistan,59.5,105.4
Vietnam,59.1,103.4
Kuwait,58.9,105.2
Oman,58.2,103.5
Brazil,57.9,103.0
Nepal,57.6,101.2
Tunisia,57.3,100.5
Greece,57.2,101.7
Puerto Rico,56.9,103.4
Bulgaria,56.8,100.8
Romania,56.5,99.7
Peru,55.8,97.6
Armenia,55.7,97.9
North Macedonia,55.6,99.3
Dominican Republic,55.5,97.3
Bosnia And Herzegovina,55.3,98.6
Ukraine,55.2,96.7
Poland,54.6,96.6
Georgia,54.5,94.7
Hungary,54.3,97.3
Cyprus,54.1,94.1
Algeria,53.9,97.6
Trinidad And Tobago,53.8,99.0
Serbia,52.4,94.1
Iran,52.3,91.0
Ireland,52.0,94.6
Albania,49.6,86.1
Cambodia,49.4,87.4
Nigeria,48.5,83.7
Egypt,47.4,81.5
Azerbaijan,46.6,80.9
Morocco,46.4,79.4
Belarus,46.1,81.3
Iraq,44.3,75.5
Bangladesh,41.7,71.2
Venezuela,39.2,68.3
Malta,38.2,63.4
