Rank,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Ethiopia,43.8,28.6,19.1,3.5,5.2,472.4,0.2
Lebanon,34.0,5.0,6.1,20.0,16.5,354.1,0.3
Russia,33.8,3.5,3.8,28.7,26.1,467.0,0.2
Montenegro,30.0,3.3,3.8,30.0,26.4,323.9,0.3
Algeria,30.0,3.4,3.5,29.1,28.7,279.1,0.4
China,29.6,4.0,4.0,25.2,24.7,221.7,0.5
Hong Kong,29.3,3.2,2.8,31.5,35.7,184.3,0.5
Monaco,27.5,5.3,2.4,19.0,41.5,217.8,0.5
Tunisia,24.8,1.6,1.9,62.0,51.4,338.2,0.3
Lithuania,24.0,3.3,3.0,30.1,33.5,484.3,0.2
Czech Republic,22.4,2.4,3.5,42.0,29.0,178.9,0.6
Thailand,22.1,6.1,7.6,16.3,13.1,197.4,0.5
Serbia,21.3,3.2,3.6,31.0,27.7,239.6,0.4
South Korea,20.8,1.4,1.3,71.8,78.7,163.2,0.6
Moldova,20.3,5.8,4.9,17.2,20.3,522.2,0.2
Albania,20.1,1.8,4.7,54.2,21.1,194.1,0.5
Taiwan,19.9,1.4,2.0,72.1,50.9,115.8,0.9
Trinidad And Tobago,19.6,4.0,6.0,25.1,16.7,292.0,0.3
Kazakhstan,18.8,8.0,11.8,12.5,8.5,279.8,0.4
Egypt,18.4,9.9,8.4,10.1,11.8,171.1,0.6
Morocco,18.3,5.0,5.7,20.2,17.4,188.5,0.5
Ukraine,18.0,5.6,5.1,17.7,19.7,322.4,0.3
Pakistan,17.8,3.5,3.9,28.8,25.4,330.7,0.3
Indonesia,17.5,10.1,9.0,9.9,11.1,150.4,0.7
Singapore,17.1,3.8,4.1,26.6,24.2,108.3,0.9
Belarus,17.0,6.3,4.3,15.9,23.1,326.0,0.3
Romania,16.4,4.1,4.2,24.2,23.7,180.8,0.6
Armenia,15.8,12.4,8.2,8.1,12.1,214.9,0.5
Paraguay,15.1,4.7,3.4,21.1,29.6,321.4,0.3
Latvia,14.2,4.7,3.3,21.3,30.0,124.8,0.8
Spain,13.3,3.4,4.0,29.8,24.8,92.7,1.1
Bosnia And Herzegovina,12.8,2.2,3.1,45.1,31.8,130.8,0.8
Slovenia,12.8,4.2,3.6,23.9,28.0,114.2,0.9
Sri Lanka,12.6,8.4,10.3,11.9,9.7,131.1,0.8
Poland,12.4,3.7,3.7,27.3,26.7,110.3,0.9
Vietnam,12.3,6.3,10.5,15.9,9.6,136.4,0.7
Italy,12.2,3.4,4.1,29.5,24.3,95.8,1.0
Iran,12.1,5.8,6.8,17.3,14.7,193.2,0.5
Greece,12.0,3.2,3.3,31.1,30.3,96.6,1.0
Syria,12.0,6.5,9.2,15.3,10.9,120.4,0.8
Hungary,12.0,4.7,4.9,21.3,20.4,113.8,0.9
France,11.9,3.0,3.2,33.7,30.9,88.9,1.1
North Macedonia,11.3,4.3,4.2,23.3,23.6,121.9,0.8
Bulgaria,11.1,5.6,5.5,18.0,18.1,129.2,0.8
Mongolia,10.9,8.5,7.6,11.8,13.2,172.6,0.6
Croatia,10.9,3.7,3.6,26.8,27.5,101.0,1.0
Slovakia,10.6,4.1,4.9,24.4,20.6,86.0,1.2
