Rank,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Hong Kong,38.6,2.1,2.1,48.5,48.1,239.7,0.4
China,27.4,1.7,2.2,57.8,45.8,219.3,0.5
Thailand,26.0,4.0,3.4,25.2,29.6,226.1,0.4
Vietnam,23.4,4.4,6.7,22.7,14.8,251.2,0.4
Singapore,22.2,2.4,3.2,40.9,31.4,138.7,0.7
Algeria,22.0,2.5,2.8,39.4,35.2,179.7,0.6
Azerbaijan,21.1,5.4,5.3,18.4,18.7,248.4,0.4
Ukraine,19.9,5.9,6.6,16.9,15.2,425.6,0.2
Uruguay,19.4,4.7,4.4,21.3,22.9,201.2,0.5
Peru,19.2,5.3,5.1,18.9,19.6,237.1,0.4
Colombia,18.3,4.4,4.5,22.8,22.5,268.3,0.4
Serbia,18.0,3.0,3.3,33.1,30.7,140.3,0.7
Belarus,18.0,5.1,4.7,19.6,21.2,508.3,0.2
Philippines,17.2,3.8,3.6,26.1,27.9,164.3,0.6
Brazil,17.0,3.9,4.1,25.5,24.5,224.5,0.4
Albania,15.1,3.9,4.9,25.6,20.3,138.9,0.7
Moldova,15.0,6.4,6.8,15.5,14.8,213.3,0.5
Montenegro,14.5,3.7,3.9,26.8,25.4,149.3,0.7
South Korea,14.3,1.8,2.0,54.7,48.8,98.7,1.0
Lebanon,14.2,5.2,6.0,19.4,16.8,129.0,0.8
Morocco,13.9,5.2,4.9,19.4,20.4,115.7,0.9
North Macedonia,13.9,3.8,3.7,26.3,27.2,126.1,0.8
Georgia,13.9,7.2,7.6,13.8,13.2,177.8,0.6
Taiwan,13.8,1.5,1.8,68.4,56.3,84.7,1.2
Lithuania,13.8,3.8,4.2,26.2,24.1,85.2,1.2
Panama,13.5,9.1,8.6,11.0,11.6,110.7,0.9
Israel,13.4,2.6,2.9,37.9,34.3,89.6,1.1
Ecuador,13.3,5.5,4.9,18.0,20.4,160.7,0.6
Japan,13.3,1.9,2.5,51.6,39.5,75.1,1.3
Kosovo (Disputed Territory),13.1,3.6,5.0,28.0,19.8,114.1,0.9
Indonesia,13.0,4.6,4.9,21.7,20.5,135.9,0.7
Tunisia,13.0,4.1,5.1,24.3,19.8,119.2,0.8
Armenia,12.9,6.5,5.1,15.4,19.8,182.9,0.5
Iran,12.9,6.5,8.3,15.4,12.1,242.8,0.4
Dominican Republic,12.9,7.2,6.8,13.9,14.8,172.7,0.6
Russia,12.4,5.9,6.3,17.0,15.9,173.6,0.6
Chile,12.4,4.3,4.5,23.4,22.3,96.5,1.0
Hungary,12.4,5.0,5.7,20.0,17.6,108.8,0.9
Luxembourg,12.1,3.9,3.8,25.9,26.5,73.4,1.4
Bangladesh,12.0,3.5,3.2,28.3,31.3,156.9,0.6
Pakistan,11.8,4.4,3.9,22.6,25.4,152.3,0.7
Argentina,11.8,4.0,4.0,25.0,24.7,322.0,0.3
Egypt,11.7,7.1,6.9,14.1,14.4,180.9,0.6
Kazakhstan,11.6,6.7,6.2,15.0,16.1,207.7,0.5
Sweden,11.6,2.4,3.2,40.9,31.3,69.6,1.4
Czech Republic,11.4,4.0,4.6,25.0,21.9,69.3,1.4
Bosnia And Herzegovina,11.4,3.4,3.3,29.1,30.5,104.4,1.0
United Kingdom,11.1,3.4,4.1,29.5,24.6,75.8,1.3
Croatia,10.8,3.4,3.7,29.2,26.8,87.5,1.1
