Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Syria,63.4,3.0,3.1,33.1,32.2,703.0,0.1
Hong Kong,43.5,1.8,1.8,56.7,55.6,278.8,0.4
Cambodia,39.9,4.6,5.8,21.6,17.4,471.1,0.2
Kenya,36.3,1.5,3.5,64.9,28.3,554.8,0.2
Sri Lanka,35.0,2.8,3.1,36.3,32.5,543.8,0.2
Philippines,29.9,3.3,3.4,30.8,29.3,293.7,0.3
Iran,29.8,4.5,5.2,22.3,19.3,638.3,0.2
China,28.4,1.6,1.8,61.2,56.7,227.8,0.4
Taiwan,24.2,1.4,1.5,69.3,67.3,144.9,0.7
Nepal,24.2,2.8,3.5,36.3,28.5,315.3,0.3
Argentina,24.1,1.9,1.9,53.0,51.3,1001.9,0.1
Vietnam,21.9,4.1,5.7,24.7,17.6,236.2,0.4
Singapore,21.7,2.4,3.0,41.3,33.8,136.9,0.7
Thailand,21.6,3.5,3.7,29.0,27.0,181.9,0.5
Indonesia,21.3,4.4,5.0,22.7,20.2,249.5,0.4
South Korea,19.4,1.3,1.6,76.3,61.3,134.9,0.7
Colombia,19.3,4.8,4.6,20.9,21.6,249.8,0.4
Armenia,18.6,5.2,5.1,19.2,19.7,235.9,0.4
Chile,17.9,3.9,3.8,25.7,26.0,128.1,0.8
Serbia,17.9,3.1,3.4,31.9,29.7,129.1,0.8
Uruguay,17.8,3.8,4.0,26.1,25.2,178.3,0.6
Algeria,17.4,3.1,3.9,32.0,25.4,152.0,0.7
Brazil,16.5,4.2,4.3,23.9,23.3,189.2,0.5
Azerbaijan,16.5,5.1,5.7,19.5,17.7,168.4,0.6
Czech Republic,16.4,3.1,3.4,31.9,29.2,106.5,0.9
Peru,15.6,5.5,5.4,18.2,18.5,180.2,0.6
Kyrgyzstan,15.5,6.9,6.7,14.6,14.8,265.2,0.4
Belarus,15.5,4.7,4.4,21.2,22.8,230.4,0.4
Uzbekistan,15.3,6.3,7.3,15.9,13.8,306.9,0.3
Albania,14.8,4.2,5.2,23.8,19.3,120.4,0.8
Georgia,14.5,7.1,8.4,14.0,11.9,183.7,0.5
Lebanon,14.5,5.3,5.6,18.7,17.9,138.3,0.7
Bangladesh,14.3,3.1,3.6,31.9,27.8,183.2,0.5
France,14.1,2.4,2.6,42.3,38.3,82.1,1.2
Croatia,13.9,3.4,3.7,29.1,27.3,101.4,1.0
Montenegro,13.8,4.4,4.5,22.9,22.3,124.6,0.8
Hungary,13.8,3.8,4.3,26.0,23.4,109.8,0.9
Moldova,13.7,5.8,6.7,17.2,14.8,155.0,0.6
Morocco,13.6,4.7,4.6,21.3,21.8,110.5,0.9
Israel,13.5,2.9,2.9,34.3,33.9,94.6,1.1
Egypt,13.4,5.5,6.4,18.3,15.5,194.6,0.5
Japan,13.3,2.2,2.5,45.1,40.7,77.2,1.3
Poland,13.2,4.2,4.9,23.7,20.6,98.5,1.0
Kuwait,13.1,3.1,5.2,31.9,19.3,110.8,0.9
Portugal,12.5,5.0,6.0,19.9,16.7,77.9,1.3
Pakistan,12.5,4.9,5.1,20.5,19.8,189.6,0.5
Ecuador,12.4,5.8,6.0,17.1,16.8,152.9,0.7
North Macedonia,12.4,4.2,4.1,23.8,24.6,103.3,1.0
Afghanistan,12.3,3.7,4.3,27.1,23.2,145.9,0.7
Dominican Republic,12.2,7.6,7.5,13.2,13.3,165.7,0.6
Malta,12.2,5.6,6.7,17.9,15.0,89.6,1.1
Bosnia And Herzegovina,12.2,3.2,3.2,31.1,31.0,92.1,1.1
Mongolia,11.9,7.8,7.5,12.8,13.3,142.6,0.7
Ukraine,11.9,6.3,7.6,15.9,13.1,240.6,0.4
Panama,11.8,8.3,7.8,12.1,12.8,97.4,1.0
Luxembourg,11.8,3.5,3.8,28.9,26.5,70.0,1.4
