Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Syria,63.2,2.9,3.2,34.0,31.7,709.4,0.1
Hong Kong,45.2,1.6,1.7,61.6,57.6,288.3,0.3
Jamaica,36.0,2.8,1.2,35.3,83.5,374.4,0.3
Cambodia,35.8,5.0,5.6,20.0,18.0,429.0,0.2
Sri Lanka,35.0,2.8,2.7,36.2,36.7,534.1,0.2
Iran,34.2,4.1,4.9,24.2,20.4,730.0,0.1
Philippines,30.1,3.3,3.3,30.5,30.8,294.6,0.3
China,29.0,1.5,1.7,65.7,58.1,232.4,0.4
Kenya,27.3,2.1,4.0,48.5,24.8,420.3,0.2
Nepal,23.8,2.4,2.9,40.9,34.4,308.0,0.3
Taiwan,23.6,1.5,1.5,67.1,65.1,141.6,0.7
South Korea,23.6,1.1,1.2,95.1,81.5,163.6,0.6
Argentina,22.7,2.2,2.3,45.0,43.8,941.2,0.1
Thailand,22.2,3.2,3.6,31.6,27.5,179.8,0.6
Indonesia,22.0,4.1,4.8,24.6,20.8,256.8,0.4
Vietnam,20.6,4.0,5.8,24.8,17.3,223.9,0.4
Singapore,19.4,2.4,3.1,41.3,32.7,121.0,0.8
Colombia,18.7,5.1,4.7,19.6,21.4,239.8,0.4
Armenia,18.0,5.1,4.9,19.8,20.4,229.0,0.4
Chile,17.6,3.9,3.7,25.7,26.7,127.3,0.8
Uruguay,17.3,3.9,3.8,25.9,26.1,174.5,0.6
Algeria,17.1,3.2,4.0,31.4,24.8,151.4,0.7
Serbia,17.1,3.1,3.4,32.7,29.7,124.2,0.8
Peru,16.9,5.1,4.9,19.5,20.6,192.2,0.5
Belarus,16.8,4.3,4.1,23.5,24.2,251.0,0.4
Azerbaijan,16.6,4.8,5.4,20.7,18.4,176.8,0.6
Brazil,16.1,4.1,4.3,24.4,23.5,181.4,0.6
Kyrgyzstan,15.6,7.0,6.7,14.4,15.0,262.3,0.4
Uzbekistan,15.6,6.1,7.0,16.3,14.3,337.1,0.3
El Salvador,15.6,6.5,7.1,15.5,14.0,167.3,0.6
Czech Republic,15.5,3.2,3.4,31.7,29.5,99.5,1.0
Albania,14.8,4.3,5.2,23.2,19.3,117.5,0.9
Bangladesh,14.4,3.3,3.4,30.7,29.3,180.7,0.6
Paraguay,14.2,5.4,6.8,18.6,14.8,204.3,0.5
Croatia,14.2,3.3,3.5,30.1,28.3,103.3,1.0
Georgia,14.2,6.3,7.4,15.8,13.6,177.9,0.6
Montenegro,14.1,4.3,4.3,23.2,23.4,131.0,0.8
Lebanon,14.1,5.5,5.7,18.3,17.4,132.9,0.8
Poland,14.0,4.2,4.9,23.9,20.3,106.9,0.9
Israel,13.7,2.7,2.9,36.4,35.0,96.0,1.0
Egypt,13.6,5.5,6.2,18.1,16.1,199.7,0.5
Guatemala,13.6,7.2,7.2,13.8,13.9,134.5,0.7
Morocco,13.5,4.6,4.9,21.6,20.5,109.7,0.9
France,13.5,2.3,2.7,43.0,36.9,78.4,1.3
Kuwait,13.2,3.2,5.1,31.6,19.5,113.1,0.9
Japan,13.0,2.2,2.4,45.6,41.2,75.2,1.3
Afghanistan,13.0,3.3,3.8,30.4,26.0,158.0,0.6
Moldova,12.7,5.7,6.5,17.4,15.3,141.7,0.7
