Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Ghana,87.7,13.0,0.4,7.7,278.1,2349.5,0.0
Syria,70.6,2.9,3.3,34.5,29.9,877.8,0.1
Hong Kong,46.9,1.6,1.5,63.4,67.7,293.9,0.3
Sri Lanka,46.0,2.2,2.2,45.8,45.6,649.6,0.2
Jamaica,34.0,2.6,1.7,38.1,58.0,341.4,0.3
Iran,33.0,4.6,5.5,21.8,18.1,687.7,0.1
Cambodia,32.5,4.9,5.7,20.6,17.5,388.4,0.3
Philippines,29.6,3.1,3.0,32.4,33.1,289.0,0.3
South Korea,29.4,0.8,1.0,124.4,98.8,200.6,0.5
China,29.0,1.5,1.7,66.4,60.4,233.2,0.4
Argentina,26.0,2.2,2.1,45.6,46.9,1061.2,0.1
Kenya,24.2,1.9,4.8,52.9,20.8,349.3,0.3
Nepal,22.9,1.9,2.7,52.0,36.6,288.1,0.3
Indonesia,21.9,4.2,4.7,24.1,21.4,251.7,0.4
Taiwan,21.8,1.6,1.7,64.4,59.5,130.1,0.8
Thailand,21.7,3.2,3.6,31.2,27.9,176.2,0.6
Vietnam,20.5,3.9,4.5,25.5,22.3,229.0,0.4
Uruguay,20.1,3.2,3.8,31.3,26.6,202.7,0.5
Peru,19.5,4.5,4.6,22.3,21.5,227.8,0.4
Algeria,18.2,3.1,3.4,32.6,29.3,165.1,0.6
Singapore,17.5,2.6,3.2,39.1,31.6,105.9,0.9
Armenia,17.5,4.8,5.2,20.8,19.1,219.8,0.5
Paraguay,17.3,5.1,5.6,19.4,17.9,236.7,0.4
Chile,17.2,3.9,4.3,25.6,23.4,138.2,0.7
Colombia,16.9,5.0,4.4,20.0,22.9,212.2,0.5
Uzbekistan,16.9,6.0,8.1,16.7,12.3,335.7,0.3
Azerbaijan,16.8,4.3,4.6,23.5,21.6,187.1,0.5
Belarus,16.7,4.5,4.3,22.3,23.1,295.0,0.3
Serbia,16.5,3.0,3.2,33.3,31.4,119.5,0.8
Brazil,16.3,4.2,4.2,24.0,23.6,177.8,0.6
Nigeria,16.1,34.4,31.9,2.9,3.1,326.0,0.3
El Salvador,15.8,6.9,6.2,14.5,16.2,176.4,0.6
Montenegro,15.3,4.4,4.7,22.8,21.1,130.9,0.8
Russia,14.8,4.9,4.5,20.3,22.1,168.0,0.6
Venezuela,14.4,8.5,8.2,11.7,12.2,339.3,0.3
Pakistan,14.3,3.8,4.4,26.2,22.7,199.4,0.5
Dominican Republic,14.3,6.3,6.0,15.8,16.8,195.7,0.5
Afghanistan,14.1,3.0,3.9,32.9,25.5,185.5,0.5
Albania,14.1,4.0,5.2,24.7,19.2,110.5,0.9
Guatemala,14.0,7.0,7.5,14.4,13.4,139.8,0.7
Mongolia,14.0,6.7,6.9,14.9,14.4,149.8,0.7
Croatia,13.9,3.2,3.3,31.1,30.0,99.0,1.0
Czech Republic,13.6,3.0,3.2,33.6,31.6,86.1,1.2
Luxembourg,13.6,3.0,3.3,33.2,29.9,80.4,1.2
Bangladesh,13.5,3.1,3.2,32.6,31.3,149.5,0.7
Israel,13.5,2.7,2.8,37.2,35.1,94.6,1.1
Malta,13.1,5.0,5.6,19.9,17.9,96.0,1.0
Morocco,12.6,4.7,5.0,21.4,20.1,101.7,1.0
North Macedonia,12.5,3.7,3.5,27.1,28.3,100.4,1.0
Ecuador,12.5,5.8,5.6,17.1,17.7,152.3,0.7
Kuwait,12.3,3.4,5.0,29.2,19.8,103.5,1.0
Portugal,12.2,4.9,5.9,20.5,16.9,75.4,1.3
Lebanon,12.2,5.9,6.1,16.9,16.4,116.0,0.9
Egypt,12.0,5.9,6.5,16.9,15.3,165.2,0.6
Georgia,12.0,5.8,6.6,17.2,15.1,155.1,0.6
Tunisia,11.7,4.8,4.8,20.8,20.8,131.5,0.8
Slovenia,11.5,3.5,3.7,28.5,26.9,73.9,1.4
Poland,11.2,3.9,4.3,25.5,23.3,80.5,1.2
Panama,11.2,8.1,7.6,12.4,13.2,93.4,1.1
Slovakia,11.2,4.3,4.5,23.4,22.2,63.8,1.6
Japan,11.0,2.3,2.7,42.8,36.6,63.2,1.6
Lithuania,11.0,3.7,4.0,27.1,24.9,68.7,1.5
Ukraine,10.9,6.1,6.6,16.4,15.2,193.7,0.5
