Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Switzerland,194.1,127.4,74.2,79.5,148.7,6.5,30.9,35.5,-
Germany,184.4,114.2,78.8,72.0,92.8,4.8,33.1,45.1,-
Norway,183.4,94.2,80.9,79.0,166.6,7.1,18.5,19.2,-
United Arab Emirates,177.1,134.9,64.1,63.9,80.8,4.5,17.0,69.2,-
New Zealand,174.3,88.6,53.2,86.8,107.4,5.7,25.2,17.1,-
Sweden,171.7,99.3,63.8,86.8,109.0,9.0,23.0,32.5,-
Canada,165.0,110.7,60.2,72.0,101.7,4.9,40.4,41.6,-
Denmark,163.1,99.3,54.7,89.8,125.7,6.1,31.0,34.2,-
Australia,162.0,108.7,59.4,79.1,130.3,6.9,37.1,37.2,-
Austria,159.9,98.8,55.9,83.2,98.4,6.7,23.0,42.8,-
Netherlands,158.1,93.7,71.6,70.4,108.5,6.3,26.8,41.7,-
United States,140.6,118.7,35.1,65.5,85.5,2.8,36.4,61.3,-
Japan,130.5,83.6,94.3,96.1,136.7,16.9,46.5,52.5,-
Ireland,125.1,84.8,53.9,41.1,114.3,5.9,11.7,45.2,-
Slovenia,121.9,57.2,64.3,82.9,78.6,13.4,24.7,35.0,-
France,119.5,90.9,55.2,80.7,103.9,10.5,29.0,61.8,-
Israel,118.2,73.8,59.2,91.7,98.7,9.5,46.6,48.8,-
United Kingdom,110.1,89.8,54.0,76.0,109.4,7.4,44.2,64.4,-
Portugal,105.1,56.9,59.4,70.0,74.0,7.8,28.0,51.9,-
Spain,100.9,86.2,67.0,69.9,84.5,9.9,26.5,85.6,-
Belgium,100.7,84.6,59.4,82.2,114.3,6.3,21.5,88.3,-
Croatia,93.1,50.7,67.6,65.0,70.8,11.6,37.0,49.9,-
Czech Republic,88.1,58.4,63.4,65.0,65.2,11.0,28.7,66.0,-
Singapore,87.1,91.2,79.8,59.0,101.0,17.2,66.2,70.8,-
South Africa,83.6,100.0,21.9,59.5,76.9,3.0,34.5,89.0,-
Saudi Arabia,71.0,80.4,67.5,40.7,97.4,2.8,15.8,112.5,-
Turkey,66.7,52.8,73.6,70.0,68.1,5.6,54.2,89.2,-
Malaysia,65.3,72.1,29.1,69.1,56.0,4.8,32.4,91.2,-
Poland,60.6,58.9,61.3,55.8,53.0,12.3,36.3,83.8,-
Mexico,60.3,59.3,37.5,80.1,56.4,5.8,31.3,93.5,-
Italy,49.7,67.7,43.3,67.8,99.1,12.6,37.8,85.5,-
Hungary,48.7,38.1,69.5,60.0,63.4,10.6,24.7,90.2,-
India,44.0,62.1,54.4,59.4,34.3,9.8,48.3,102.9,-
Indonesia,37.2,20.1,76.1,94.1,51.5,39.8,36.7,43.8,-
Serbia,34.6,31.1,71.3,57.4,54.3,19.5,25.6,81.0,-
Argentina,32.6,40.5,51.6,76.7,68.1,11.8,45.4,90.0,-
Bulgaria,30.8,34.7,58.6,60.3,53.7,10.3,26.3,98.5,-
Bosnia And Herzegovina,28.0,42.9,59.7,57.4,53.4,10.9,17.0,112.4,-
Romania,25.5,33.2,70.4,48.4,50.9,15.6,32.5,91.9,-
Thailand,24.9,33.4,60.3,92.6,52.9,16.7,38.8,101.6,-
Colombia,23.4,29.0,52.8,88.9,61.7,14.4,44.0,91.5,-
Greece,23.3,45.0,48.0,51.8,97.9,11.1,38.2,87.8,-
Chile,21.0,51.0,43.6,59.3,70.2,9.4,41.6,103.8,-
Brazil,10.8,31.7,40.7,59.1,87.6,15.3,30.0,82.9,-
Pakistan,-3.1,26.2,41.3,60.4,36.4,20.2,13.0,101.3,-
Philippines,-3.8,28.4,46.9,76.1,44.8,8.7,54.9,116.7,-
Russia,-7.4,44.0,49.4,35.5,69.4,14.4,47.8,104.7,-
Ukraine,-14.6,27.2,44.6,40.3,51.7,16.7,33.0,100.2,-
Egypt,-22.2,27.2,55.7,65.7,50.8,11.8,59.0,125.7,-
Iran,-35.2,46.4,48.1,43.4,54.3,12.5,73.5,131.8,-
China,-49.5,33.5,55.5,36.1,51.6,29.9,29.7,122.8,-
