Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Switzerland,188.4,102.8,78.4,74.1,125.0,8.2,28.7,19.9,80.0
Denmark,186.2,86.4,73.8,79.8,88.5,7.0,28.7,21.3,81.8
Netherlands,180.3,76.7,72.8,75.3,78.9,7.3,27.6,25.4,87.0
Finland,179.0,80.1,72.4,76.2,76.4,8.6,28.9,12.0,56.6
Australia,178.4,91.1,57.0,77.9,80.7,7.3,34.8,23.7,92.7
Iceland,177.6,67.3,76.3,65.9,99.7,6.1,19.9,16.0,68.8
Austria,176.4,68.7,74.5,77.0,74.9,10.9,25.7,20.4,77.1
Germany,175.2,89.9,64.2,73.5,67.8,8.9,31.2,27.8,82.8
New Zealand,173.6,74.9,57.1,73.6,76.3,7.8,30.7,23.7,96.7
Luxembourg,171.8,87.8,65.9,72.9,85.3,13.0,31.8,23.3,82.6
Norway,171.7,73.6,66.3,75.6,103.6,8.1,26.9,18.1,68.7
Estonia,171.2,56.6,76.3,72.7,53.8,9.4,24.4,19.7,64.3
Sweden,170.2,85.4,52.0,68.8,75.9,7.7,29.8,18.5,74.9
Oman,168.8,74.9,79.7,58.4,49.6,5.5,23.0,37.2,67.2
Slovenia,165.7,52.1,77.7,65.2,56.4,11.7,26.9,22.6,77.6
Japan,164.1,76.0,77.8,80.2,81.1,11.6,40.0,39.1,85.3
United States,163.6,94.3,52.2,69.1,70.5,4.0,32.9,39.3,77.5
Spain,163.5,58.5,66.7,78.8,56.6,9.2,29.3,39.7,93.6
Lithuania,160.3,52.8,66.6,70.9,46.0,10.5,25.8,26.7,69.9
Portugal,159.8,40.5,70.1,71.9,50.6,12.9,29.3,30.2,97.8
Czech Republic,157.5,54.8,74.5,75.4,48.2,13.7,29.6,36.3,77.1
Canada,157.2,78.3,58.1,71.7,71.5,7.2,33.7,28.5,55.3
United Kingdom,156.9,77.5,53.9,75.1,70.6,9.5,34.4,40.1,88.2
United Arab Emirates,156.9,84.9,84.8,68.2,58.9,4.5,36.2,49.9,45.2
Croatia,155.4,39.8,75.4,64.0,55.2,13.6,28.1,30.8,89.7
France,153.6,76.4,48.0,80.6,77.6,10.0,34.8,42.2,90.4
Qatar,151.5,84.9,87.9,73.2,61.9,6.1,30.5,60.2,36.0
Ireland,150.5,71.6,54.5,52.8,78.5,6.7,38.1,33.9,89.1
Belgium,148.2,70.1,55.4,75.4,75.8,7.0,36.8,50.1,86.0
Slovakia,147.1,45.7,69.6,60.2,47.3,11.1,27.9,39.5,78.1
Latvia,146.8,43.5,61.2,62.0,50.4,8.3,30.9,33.2,74.7
Singapore,146.5,78.5,72.0,71.2,82.6,17.6,41.2,33.1,57.5
Cyprus,146.1,49.4,68.7,54.6,61.6,6.6,23.1,55.1,93.3
Saudi Arabia,144.7,80.1,74.8,60.9,49.6,2.7,28.4,63.9,46.0
Israel,143.7,65.9,68.5,73.9,84.8,12.9,35.6,58.1,94.0
Taiwan,138.5,51.1,84.5,86.4,64.9,21.8,31.4,63.0,81.6
Italy,137.8,54.3,55.2,67.0,70.0,8.8,34.0,54.1,91.5
Hungary,134.5,47.4,65.6,52.9,42.3,10.6,35.9,48.1,79.5
South Africa,131.4,69.2,23.1,63.9,44.2,3.4,39.4,56.4,95.3
Romania,130.9,41.9,71.7,56.0,36.8,10.3,34.0,58.6,77.6
Puerto Rico,128.2,61.2,37.2,57.3,67.8,4.2,34.2,50.2,71.2
Greece,128.0,36.0,54.1,57.1,58.4,9.6,34.0,52.1,92.5
Poland,127.8,43.6,69.5,56.1,41.8,14.1,31.3,57.3,76.0
Bulgaria,126.9,39.5,61.8,56.3,38.7,8.3,29.4,64.5,82.8
South Korea,124.7,69.4,73.3,82.4,76.5,26.1,40.2,62.4,68.4
Turkey,124.2,31.3,60.4,70.7,31.7,8.7,44.2,65.8,93.2
Bosnia And Herzegovina,123.9,38.9,57.0,53.2,37.0,11.0,25.9,61.0,80.5
Uruguay,122.4,27.4,48.3,67.8,50.5,18.5,37.3,45.4,98.0
Costa Rica,120.4,34.7,45.8,62.2,48.5,10.0,60.2,44.1,99.5
Mexico,119.8,31.3,45.8,72.5,36.7,10.9,39.2,59.9,88.5
Serbia,117.0,34.2,61.9,52.0,37.6,15.9,30.8,61.7,83.2
Georgia,116.6,25.2,76.6,54.4,28.6,14.4,35.4,70.0,84.2
Ecuador,116.3,27.1,44.8,68.2,38.8,13.3,39.3,58.4,94.5
Malaysia,115.0,50.1,42.7,70.0,37.5,10.0,37.2,62.6,59.1
Kuwait,113.7,70.5,66.6,59.0,49.1,12.5,33.2,66.1,20.2
Jordan,112.3,28.0,60.0,65.4,50.9,7.9,41.7,76.4,89.0
Panama,111.1,28.9,54.8,60.7,53.0,11.4,37.1,59.4,67.8
North Macedonia,108.3,29.9,60.9,56.4,32.8,12.2,26.9,79.8,76.3
Ukraine,107.8,30.3,52.6,53.7,31.2,11.2,37.8,63.6,70.7
Belarus,107.1,29.9,40.4,44.8,31.6,16.2,30.3,44.8,64.4
Morocco,105.0,29.8,51.3,45.9,35.6,12.9,36.3,69.4,90.0
Brazil,104.7,25.1,32.5,57.8,36.1,16.0,41.4,54.4,95.4
Argentina,104.3,27.7,36.2,69.0,35.3,26.4,42.6,51.0,98.3
China,103.2,53.6,69.9,66.2,41.3,27.9,40.6,81.2,80.2
India,103.0,42.2,55.6,65.8,24.6,10.8,46.6,79.9,65.5
Pakistan,102.2,24.6,57.5,60.0,21.9,13.6,38.3,73.4,70.4
Colombia,102.0,25.3,43.1,66.9,28.1,17.5,47.3,62.9,88.3
Azerbaijan,101.4,23.1,68.0,44.6,30.0,17.6,40.0,74.3,91.4
Thailand,100.3,28.9,60.6,77.7,44.8,21.2,39.8,75.3,69.4
Russia,97.9,35.5,60.0,58.5,36.8,15.3,44.5,62.6,39.8
Chile,97.3,29.4,46.6,64.0,48.6,18.1,36.2,78.6,90.2
Hong Kong,96.1,56.9,78.0,66.4,80.8,45.7,42.7,67.4,83.6
Kazakhstan,94.2,31.6,46.2,59.6,29.6,9.5,34.8,73.2,39.8
Indonesia,90.2,19.0,54.1,60.5,36.0,21.5,43.3,67.2,68.5
Vietnam,88.9,25.3,53.8,58.6,36.9,19.8,29.6,85.5,71.1
Egypt,87.2,18.5,53.2,46.6,29.1,12.7,49.0,83.9,92.0
Peru,81.3,26.1,33.3,57.8,33.0,18.8,49.1,82.3,97.7
Philippines,78.1,18.0,57.5,67.2,39.1,30.2,43.7,73.7,61.0
Kenya,76.9,25.4,39.9,57.5,35.8,27.0,56.4,75.9,99.8
Sri Lanka,75.5,18.4,58.6,72.7,30.4,38.6,56.7,60.0,59.1
Bangladesh,64.5,21.8,36.1,42.2,33.0,14.9,57.1,84.9,72.9
Iran,63.6,16.8,50.6,52.3,40.6,34.9,47.3,75.7,71.0
Nigeria,54.7,8.8,35.9,48.5,29.6,14.0,62.0,87.7,60.8
