Country,Traffic Index,Time Index,Time Exp. Index,Inefficiency Index, Emission Index
Egypt,249.5,50.8,6957.9,293.5,9626.1
Iran,221.6,48.1,5165.2,222.3,7506.9
Russia,209.1,49.1,5781.4,210.2,4823.2
Turkey,208.0,48.1,5110.6,217.3,5437.5
South Africa,208.0,43.2,2698.8,223.0,9589.1
Philippines,207.8,46.0,3960.5,242.7,6945.3
Thailand,206.0,43.1,2663.2,280.6,8942.1
India,201.1,46.0,3964.0,225.2,5948.8
Brazil,197.9,46.1,4036.1,230.6,5331.7
Indonesia,182.9,41.4,2048.5,225.2,6601.0
China,181.1,44.1,3076.4,183.6,4619.6
Japan,177.3,48.4,5290.2,182.6,1823.2
Argentina,176.7,42.4,2383.6,156.5,5323.9
Malaysia,175.9,39.8,1548.2,194.0,6865.0
Hong Kong,173.0,46.4,4181.1,170.8,2386.4
Saudi Arabia,171.3,38.7,1268.8,199.2,6870.1
Colombia,167.8,44.2,3141.5,162.6,2997.6
Singapore,165.2,43.4,2799.4,169.8,3121.5
Mexico,162.0,37.1,907.1,181.5,6619.3
Qatar,156.6,33.6,376.4,133.5,8470.6
Pakistan,155.3,36.8,865.3,157.9,5853.5
North Macedonia,154.1,40.7,1817.3,176.9,3300.9
Israel,153.8,37.8,1052.1,154.7,5061.1
Canada,153.6,37.8,1058.3,190.4,4833.3
Ukraine,152.9,40.0,1599.8,161.4,3630.8
United Arab Emirates,152.2,33.7,391.1,191.1,7209.8
United States,145.2,33.4,353.7,173.6,6378.5
Italy,143.3,36.5,798.9,162.3,4327.3
Netherlands,142.2,35.5,633.6,258.4,4282.9
Belgium,141.9,36.2,746.0,183.9,4198.5
Vietnam,137.6,36.5,809.1,143.6,3677.6
Australia,137.2,34.7,509.6,141.5,4638.9
United Kingdom,132.1,35.5,637.3,167.7,3407.7
Poland,122.8,34.5,490.9,117.9,3050.3
New Zealand,119.8,31.1,167.3,158.0,3997.9
Spain,115.8,30.5,134.2,142.0,3817.2
Ireland,115.8,32.3,255.1,138.6,3106.4
Romania,115.3,33.3,347.0,126.2,2717.9
Chile,114.5,33.8,404.2,89.4,2615.0
Portugal,113.4,30.6,136.7,118.5,3625.9
Greece,108.8,29.1,75.1,123.3,3597.4
France,108.6,32.0,229.0,92.0,2695.8
Lithuania,106.5,30.2,120.5,125.1,2929.7
Hungary,105.9,31.8,213.4,110.2,2402.8
Croatia,105.6,30.0,110.8,110.7,2971.6
Finland,103.3,32.9,307.5,103.6,1825.1
Sweden,102.2,32.0,234.1,107.2,1979.4
Slovenia,101.9,25.0,25.0,149.7,3560.5
Norway,101.4,29.5,88.3,135.7,2585.4
Czech Republic,100.9,32.5,270.1,89.1,1812.4
Bulgaria,93.4,28.7,62.7,109.5,2153.5
Serbia,93.2,28.4,55.4,105.0,2224.5
South Korea,93.2,30.9,157.4,81.5,1653.8
Switzerland,90.3,28.7,64.6,118.9,1816.9
Germany,87.5,29.1,74.5,101.4,1574.7
Denmark,83.8,25.6,25.9,88.7,1904.4
Bosnia And Herzegovina,82.2,23.4,23.4,45.2,2227.0
Austria,69.4,26.8,31.6,45.3,913.6
