Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Norway,144.4,58.9,102.9,135.5,165.9,94.4
Switzerland,143.9,63.8,105.0,148.5,145.6,138.1
Denmark,114.9,40.1,78.5,102.6,132.3,100.7
Venezuela,114.4,39.6,78.0,132.1,96.2,17.9
Iceland,111.8,41.1,77.4,121.1,106.1,59.5
Luxembourg,109.9,64.1,87.7,97.1,126.5,115.3
Australia,108.5,58.0,84.0,105.0,97.4,104.2
Ireland,106.6,39.2,73.9,102.7,100.0,94.6
New Zealand,104.5,42.4,74.3,104.5,90.1,87.6
Sweden,103.7,33.8,69.7,100.4,103.8,106.1
Bahamas,103.4,47.3,76.2,98.0,96.5,93.4
Finland,103.3,35.3,70.3,100.4,103.2,97.9
France,100.2,36.9,69.4,100.2,98.7,92.3
United Kingdom,100.1,44.2,72.9,94.3,96.9,94.3
Belgium,100.0,34.9,68.4,93.5,105.8,87.9
Singapore,100.0,97.0,98.6,89.8,61.4,64.1
Netherlands,98.8,40.9,70.7,78.0,115.2,97.5
Italy,96.8,31.6,65.1,85.0,104.6,75.4
Japan,94.1,35.5,65.7,97.6,58.8,99.6
Israel,91.5,35.2,64.1,79.5,95.4,69.3
Cyprus,89.8,20.9,56.3,82.4,94.5,65.2
Austria,89.5,33.2,62.2,88.7,79.2,91.5
Canada,87.9,35.7,62.5,94.6,78.8,105.5
South Korea,87.6,37.6,63.3,106.5,51.8,80.6
Germany,87.1,30.3,59.5,77.9,77.8,112.3
Greece,83.8,15.1,50.4,70.5,84.8,44.3
Malta,80.2,17.5,49.7,68.9,79.1,72.7
United States,77.4,36.9,57.7,83.4,67.7,132.9
Uruguay,77.4,25.3,52.0,68.7,71.6,39.6
Spain,77.2,26.4,52.5,64.2,79.1,72.5
Puerto Rico,76.5,21.2,49.6,80.0,64.4,85.3
Hong Kong,76.4,87.8,81.9,82.1,51.8,71.4
Slovenia,75.4,22.5,49.7,65.2,61.4,60.4
Qatar,75.3,77.0,76.1,70.3,78.4,125.8
Kuwait,74.1,38.8,56.9,77.6,55.9,92.5
Nigeria,73.8,21.3,48.3,75.0,62.7,35.6
Jamaica,73.4,19.6,47.3,71.5,54.4,54.1
Lebanon,70.2,33.4,52.3,54.6,67.5,41.9
Zimbabwe,69.9,20.3,45.8,66.9,53.9,27.7
Portugal,69.3,22.4,46.5,57.4,58.2,54.6
Croatia,69.0,13.9,42.3,62.7,54.8,48.3
United Arab Emirates,68.2,64.3,66.3,61.7,65.2,110.6
