Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Switzerland,124.5,54.5,88.8,114.8,137.8,210.0
Norway,109.3,40.4,74.2,95.9,136.8,139.8
Iceland,95.4,29.0,61.6,88.1,113.1,111.1
Us Virgin Islands,93.4,29.1,60.6,88.0,89.3,129.5
Australia,89.5,38.7,63.6,82.0,87.0,158.0
Denmark,88.3,26.3,56.7,71.7,112.8,164.3
Singapore,88.1,71.3,79.5,74.3,59.5,117.7
United Kingdom,86.7,33.5,59.6,75.1,96.7,133.6
Papua New Guinea,86.6,77.2,81.8,86.5,56.7,9.2
Kuwait,85.6,36.4,60.5,105.5,51.9,125.3
Venezuela,82.8,24.4,53.0,106.4,66.8,21.5
Luxembourg,80.8,50.9,65.6,65.3,105.0,153.6
New Zealand,79.8,26.7,52.8,75.1,81.6,118.8
Ireland,79.7,32.6,55.7,70.0,86.1,137.6
South Korea,77.8,34.1,55.5,91.5,48.9,138.3
Israel,77.6,24.3,50.4,63.8,89.4,133.6
Finland,76.9,23.5,49.7,65.6,86.2,149.4
Belgium,76.7,34.1,55.0,65.4,92.3,115.2
France,75.9,24.1,49.5,68.5,84.8,132.5
Hong Kong,75.0,75.0,75.0,77.0,58.1,111.8
Netherlands,74.4,28.0,50.8,54.9,92.7,150.6
Japan,74.3,26.4,49.9,73.8,50.3,135.8
Sweden,73.9,22.9,47.9,65.7,81.6,156.2
Canada,73.5,27.0,49.8,74.1,74.1,143.9
United States,73.4,31.5,52.0,76.2,69.2,156.5
Italy,72.4,20.1,45.7,58.3,86.8,112.6
Qatar,71.6,75.9,73.8,61.5,73.4,136.4
Ghana,70.7,54.1,62.2,67.8,60.6,18.3
Puerto Rico,68.7,17.0,42.3,69.8,63.5,125.9
Argentina,68.2,19.1,43.1,56.7,70.5,83.6
Austria,68.1,25.3,46.3,62.3,67.9,135.3
Germany,66.0,21.2,43.1,51.1,67.5,160.1
United Arab Emirates,64.9,62.2,63.5,56.4,66.4,143.8
Lebanon,64.0,29.6,46.5,46.2,67.3,74.7
Cyprus,63.7,12.4,37.5,54.9,69.4,109.8
Belize,62.8,10.7,36.2,56.3,44.0,195.3
Zimbabwe,62.1,16.5,38.8,52.9,57.1,48.4
Malta,61.8,17.1,39.0,50.2,72.0,100.1
Uruguay,61.6,17.0,38.8,52.9,65.4,61.7
Brunei,60.4,23.7,41.7,59.9,40.8,87.1
Costa Rica,59.5,16.0,37.3,61.2,50.4,71.0
Greece,58.9,9.3,33.6,46.8,63.9,83.2
Maldives,58.7,26.3,42.2,56.7,42.9,42.1
Trinidad And Tobago,58.0,20.1,38.7,57.5,52.9,72.0
Jamaica,57.5,12.2,34.4,54.8,47.2,58.7
Spain,56.6,16.1,35.9,43.9,65.9,114.8
Jordan,55.7,12.0,33.4,42.1,58.7,56.3
Slovenia,55.6,13.7,34.2,45.0,49.2,94.6
Oman,54.4,23.0,38.4,47.0,47.4,173.1
Taiwan,54.2,13.7,33.6,60.2,28.3,104.7
Panama,53.8,26.9,40.1,57.9,41.9,58.3
Tanzania,53.6,24.0,38.5,49.1,42.9,62.4
Palestine,53.4,8.6,30.6,44.9,44.5,63.7
Dominican Republic,53.2,11.0,31.7,50.4,45.4,37.7
Cuba,52.7,12.6,32.3,37.7,32.7,2.4
Myanmar,52.5,19.8,35.8,55.6,29.6,37.2
Estonia,52.5,12.3,32.0,38.9,48.4,80.0
Namibia,52.1,18.3,34.9,41.2,50.8,58.5
Cambodia,51.3,11.5,31.0,59.8,26.8,19.4
Mozambique,50.8,27.9,39.1,43.1,57.0,57.6
Portugal,50.6,14.1,32.0,38.7,47.7,87.3
Bahrain,50.5,29.5,39.8,45.7,53.7,91.3
Honduras,50.0,9.7,29.4,44.2,37.2,78.8
Croatia,49.8,8.7,28.8,41.8,41.3,71.4
Mauritius,49.7,15.2,32.1,44.0,45.6,91.3
Uzbekistan,49.7,12.4,30.7,43.8,36.4,31.2
Chile,49.2,14.0,31.2,42.1,43.5,93.8
Iraq,48.8,16.6,32.4,38.3,50.4,60.7
Nigeria,48.8,22.4,35.3,45.8,46.5,61.7
Latvia,48.7,11.8,29.9,36.7,43.2,68.6
Saudi Arabia,48.2,12.7,30.1,40.1,34.9,187.4
Ethiopia,48.0,18.0,32.7,44.7,25.7,22.6
Guatemala,47.6,11.5,29.2,45.6,37.8,51.1
Nicaragua,46.9,7.0,26.5,40.2,29.8,46.7
China,46.8,19.6,33.0,48.0,34.5,86.9
Kazakhstan,46.7,14.4,30.2,37.0,50.6,69.3
Brazil,46.7,12.8,29.4,35.2,40.9,56.2
Belarus,46.3,13.1,29.3,37.3,62.0,41.6
Lithuania,46.1,11.4,28.4,36.1,37.0,64.4
El Salvador,45.8,10.0,27.6,40.2,35.3,42.6
Slovakia,45.1,13.3,28.9,39.4,35.7,77.1
Fiji,44.8,16.8,30.5,52.8,39.3,47.4
Turkey,44.5,9.2,26.5,35.3,36.4,77.6
Russia,44.3,19.6,31.7,35.1,54.2,62.0
Ecuador,43.5,11.5,27.2,43.3,28.5,45.9
South Africa,43.5,14.6,28.8,36.9,42.8,142.4
Kenya,43.5,11.6,27.2,43.4,33.1,35.2
Iran,43.1,18.7,30.7,40.7,40.7,48.8
Thailand,42.7,13.6,27.9,46.9,23.8,57.3
Czech Republic,42.7,12.6,27.4,35.8,31.4,98.8
Azerbaijan,42.2,19.1,30.4,33.3,43.2,44.1
Peru,41.9,13.5,27.4,39.5,31.3,41.3
Hungary,41.8,7.9,24.5,31.3,35.3,66.3
Malaysia,41.7,9.9,25.5,40.6,24.6,103.8
Montenegro,40.4,7.9,23.8,30.8,41.4,59.7
Poland,39.6,11.7,25.4,29.9,36.5,91.0
Sri Lanka,39.6,9.7,24.3,46.8,24.1,35.4
Vietnam,39.2,12.2,25.5,36.9,20.9,30.2
Uganda,39.0,5.4,21.9,35.0,23.5,26.3
Bolivia,38.5,9.2,23.6,30.8,25.6,56.8
Libya,38.4,13.1,25.5,37.4,38.7,71.1
Armenia,38.3,8.8,23.2,29.9,35.7,39.5
Mexico,38.1,9.3,23.4,36.6,34.2,91.4
Romania,36.9,7.9,22.1,30.2,34.0,61.2
Bangladesh,36.8,4.5,20.3,35.6,25.5,46.7
Bosnia And Herzegovina,36.2,5.9,20.8,30.5,26.7,64.9
Bulgaria,36.1,6.9,21.2,30.3,30.0,58.7
Philippines,36.1,5.9,20.7,36.8,21.3,50.3
Indonesia,35.9,10.1,22.7,38.8,21.0,37.5
Colombia,35.4,9.5,22.2,29.9,27.6,50.0
Serbia,35.4,5.9,20.4,27.2,30.2,55.9
Egypt,35.3,9.0,21.9,30.6,32.9,40.8
Morocco,34.6,8.9,21.5,28.9,27.1,55.7
Syria,34.4,8.4,21.2,29.9,29.1,33.0
Albania,33.9,6.2,19.8,26.4,28.9,46.0
North Macedonia,31.7,5.2,18.2,26.0,24.3,50.1
Tunisia,31.2,6.7,18.7,27.4,22.9,54.6
Ukraine,30.7,8.4,19.3,23.7,27.6,32.7
Georgia,30.4,10.3,20.1,23.9,30.4,36.9
Kosovo (Disputed Territory),30.4,8.6,19.3,25.0,24.6,64.6
Algeria,28.6,6.5,17.3,26.9,23.2,55.3
Pakistan,27.8,4.2,15.8,26.2,23.9,46.4
Nepal,27.5,2.8,14.9,25.9,16.7,29.9
Moldova,27.4,6.4,16.7,21.6,24.5,32.8
India,24.8,5.3,14.9,26.4,16.4,99.3
