Country,Crime,Safety
South Sudan,85.5,14.5
Venezuela,82.6,17.4
Papua New Guinea,81.0,19.0
Kenya,79.1,20.9
South Africa,78.9,21.1
Nigeria,78.2,21.8
Maldives,78.0,22.0
Guatemala,77.9,22.1
Trinidad And Tobago,77.3,22.7
Afghanistan,77.1,22.9
Guyana,76.9,23.1
Mongolia,70.3,29.7
Yemen,70.1,29.9
Honduras,69.8,30.2
Brazil,69.6,30.4
Jamaica,69.1,30.9
Malaysia,68.6,31.4
Bahamas,68.3,31.7
Bolivia,68.3,31.7
Puerto Rico,66.7,33.3
Somalia,66.7,33.3
Dominican Republic,66.0,34.0
Uganda,65.8,34.2
Tanzania,65.7,34.3
Zimbabwe,64.3,35.7
El Salvador,64.3,35.7
Uzbekistan,64.3,35.7
Libya,63.9,36.1
Bangladesh,62.2,37.8
Angola,61.2,38.8
Costa Rica,60.7,39.3
Pakistan,60.6,39.4
Haiti,60.4,39.6
Argentina,59.8,40.2
Ecuador,58.3,41.7
Kyrgyzstan,57.9,42.1
Belize,57.3,42.7
Morocco,57.0,43.0
Peru,56.8,43.2
Colombia,56.7,43.3
Albania,56.1,43.9
Syria,56.1,43.9
Egypt,54.9,45.1
Mauritius,54.7,45.3
Algeria,54.2,45.8
Paraguay,53.8,46.2
Mexico,52.8,47.2
Russia,52.3,47.7
Ireland,51.7,48.3
Iran,51.1,48.9
Nepal,50.9,49.1
Namibia,50.7,49.3
Vietnam,50.2,49.8
United States,50.2,49.8
Ukraine,50.2,49.8
Myanmar,49.8,50.2
Botswana,49.6,50.4
Fiji,49.4,50.6
Iraq,49.2,50.8
Moldova,49.0,51.0
Indonesia,48.4,51.6
France,47.9,52.1
Sri Lanka,47.7,52.3
Jordan,47.5,52.5
Italy,47.1,52.9
Ghana,47.1,52.9
Bosnia And Herzegovina,46.1,53.9
Kazakhstan,45.8,54.2
Tunisia,45.5,54.5
India,45.3,54.7
Lebanon,45.2,54.8
Chile,44.8,55.2
Barbados,44.4,55.6
Uruguay,43.8,56.2
Belgium,43.8,56.2
Bahrain,43.6,56.4
Nicaragua,43.4,56.6
Panama,42.5,57.5
New Zealand,42.4,57.6
Philippines,42.0,58.0
Sweden,42.0,58.0
Australia,41.6,58.4
Turkey,41.6,58.4
Serbia,41.6,58.4
Kuwait,41.6,58.4
Greece,41.0,59.0
United Kingdom,41.0,59.0
Bulgaria,41.0,59.0
Ethiopia,41.0,59.0
Cambodia,40.8,59.2
Hungary,40.3,59.7
Oman,40.1,59.9
Latvia,39.8,60.2
Sudan,39.6,60.4
Azerbaijan,38.2,61.8
Canada,37.2,62.8
Thailand,37.0,63.0
North Macedonia,36.9,63.1
Netherlands,36.4,63.6
Laos,36.2,63.8
Lithuania,34.8,65.2
Portugal,34.6,65.4
Luxembourg,34.4,65.6
Poland,34.2,65.8
Spain,34.1,65.9
Czech Republic,34.0,66.0
Armenia,33.7,66.3
Cyprus,33.6,66.4
Slovakia,33.6,66.4
Saudi Arabia,33.2,66.8
Norway,33.0,67.0
Israel,31.3,68.7
Slovenia,31.2,68.8
Brunei,30.4,69.6
Croatia,29.4,70.6
Romania,29.3,70.7
Finland,29.2,70.8
Germany,29.1,70.9
Estonia,29.1,70.9
Belarus,29.0,71.0
Switzerland,28.2,71.8
Austria,28.2,71.8
China,27.3,72.7
Denmark,27.1,72.9
Monaco,26.3,73.7
Iceland,25.8,74.2
Qatar,22.8,77.2
Taiwan,21.4,78.6
Faroe Islands,21.1,78.9
United Arab Emirates,20.5,79.5
South Korea,20.3,79.7
Georgia,19.4,80.6
Montenegro,19.2,80.8
Hong Kong,18.8,81.2
Singapore,18.8,81.2
Rwanda,18.8,81.2
Malta,15.6,84.4
Japan,15.3,84.7
Isle Of Man,15.1,84.9
