Country,Health_Care,Health_Exp.
Taiwan,85.9,157.8
South Korea,83.0,152.1
Japan,79.6,144.9
France,78.8,144.0
Netherlands,78.6,143.8
Denmark,78.4,144.4
Thailand,77.9,142.0
Finland,77.5,141.5
Spain,77.5,142.6
Luxembourg,77.3,140.8
Norway,76.6,140.1
Austria,76.5,139.2
Estonia,75.9,139.3
Czech Republic,75.2,137.9
Belgium,75.2,136.4
United Kingdom,73.7,135.3
Lithuania,73.7,134.1
Israel,73.6,134.7
Qatar,73.5,133.8
Switzerland,73.4,137.2
Mexico,72.6,131.0
Portugal,72.3,131.4
Germany,71.8,130.4
Sri Lanka,71.5,129.1
Australia,71.4,129.2
Turkey,71.1,128.0
Singapore,70.9,131.5
Malaysia,70.0,126.1
Canada,69.7,127.9
New Zealand,69.7,125.9
United Arab Emirates,69.6,128.0
Uruguay,68.6,123.9
Sweden,68.5,125.4
Argentina,68.3,123.6
Colombia,68.2,122.5
United States,68.2,125.1
Guatemala,68.0,121.5
Ecuador,67.9,121.3
China,67.6,121.6
Philippines,67.4,120.6
Iceland,67.2,122.7
Slovenia,66.4,122.5
Italy,65.9,119.4
Hong Kong (China),65.6,119.2
India,65.2,116.6
Jordan,65.1,117.1
Costa Rica,64.6,116.4
Croatia,64.5,117.5
Chile,63.6,115.5
South Africa,63.5,114.4
Latvia,62.7,112.5
Lebanon,62.4,116.1
Kenya,61.5,109.2
Saudi Arabia,61.4,109.4
Panama,60.7,107.7
Indonesia,60.6,107.5
Kazakhstan,60.4,106.7
Russia,60.0,106.3
Vietnam,59.9,105.0
Slovakia,59.7,107.8
Pakistan,59.5,105.2
Oman,59.0,104.9
Poland,58.9,105.3
Brazil,58.6,104.2
Kuwait,58.1,103.7
Nepal,58.0,102.0
Tunisia,57.8,101.6
Puerto Rico,57.3,104.1
Greece,57.2,101.6
Bulgaria,56.9,100.9
Romania,56.4,99.4
Peru,56.3,98.5
Dominican Republic,56.1,98.3
Ukraine,55.3,96.8
Cyprus,55.3,96.4
North Macedonia,55.1,98.4
Bosnia And Herzegovina,54.8,98.0
Georgia,54.5,95.0
Hungary,54.2,97.1
Algeria,53.9,97.9
Trinidad And Tobago,53.5,99.1
Iran,52.3,91.0
Serbia,52.2,93.5
Malta,52.0,90.2
Ireland,51.9,94.4
Albania,49.3,85.6
Nigeria,48.0,82.8
Egypt,47.7,82.0
Belarus,47.7,84.1
Azerbaijan,47.5,82.6
Morocco,45.4,77.5
Iraq,43.6,74.0
Bangladesh,42.0,71.9
Venezuela,39.2,68.4
