Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Romania,30.3,3.8,3.8,26.3,26.3,-,-
Latvia,27.1,3.4,2.2,29.5,44.7,-,-
Ukraine,24.1,4.3,3.7,23.2,27.3,446.8,0.2
Poland,23.9,2.9,2.8,34.9,36.0,-,-
Russia,23.7,3.9,3.2,25.7,31.3,-,-
Lithuania,22.5,2.7,2.4,36.6,42.5,-,-
Philippines,22.0,3.6,3.8,28.0,26.1,-,-
South Korea,21.3,1.3,1.3,77.3,75.6,168.6,0.6
Hong Kong,21.2,2.2,3.8,44.6,26.4,-,-
Thailand,19.7,3.8,3.3,26.2,30.0,-,-
Bulgaria,15.9,4.0,5.0,25.2,20.1,-,-
Serbia,15.9,3.2,3.8,31.0,26.0,196.9,0.5
Slovenia,15.2,3.3,3.4,30.4,29.8,-,-
Slovakia,15.1,4.1,3.4,24.2,29.1,-,-
China,15.0,4.3,4.4,23.4,22.7,-,-
Czech Republic,14.9,3.6,3.5,28.1,28.3,149.4,0.7
United Kingdom,14.7,1.7,2.3,58.6,43.0,121.6,0.8
Singapore,14.4,4.5,5.7,22.4,17.6,-,-
Bosnia And Herzegovina,14.2,3.1,3.6,31.9,27.9,164.1,0.6
Estonia,14.1,2.5,1.9,40.0,53.6,141.3,0.7
Hungary,13.9,3.2,3.6,31.2,27.9,-,-
Israel,12.4,4.0,4.6,25.0,21.5,-,-
Greece,11.9,3.3,3.0,30.5,33.9,110.9,0.9
France,11.7,3.1,3.9,32.4,25.3,93.0,1.1
Italy,11.3,4.3,3.8,23.5,26.1,-,-
Spain,10.9,2.3,2.8,42.7,35.8,-,-
Malaysia,10.5,4.2,5.0,23.8,20.1,-,-
Japan,10.5,2.2,3.2,46.1,30.8,-,-
Indonesia,10.3,8.3,9.0,12.1,11.1,88.7,1.1
Argentina,10.0,3.1,3.7,32.1,26.9,-,-
United Arab Emirates,9.7,4.3,5.8,23.5,17.2,-,-
United States,8.9,2.4,3.8,42.1,26.1,69.7,1.4
Ireland,8.3,3.6,3.8,27.6,26.5,76.8,1.3
Finland,8.2,3.1,4.0,32.1,25.2,-,-
Portugal,7.7,3.8,3.7,26.3,26.9,-,-
India,7.7,3.6,4.4,27.8,22.6,77.1,1.3
Canada,7.1,5.0,5.6,20.0,17.8,57.3,1.7
Brazil,7.0,6.4,6.8,15.6,14.7,-,-
Netherlands,6.5,6.2,5.7,16.2,17.7,49.6,2.0
Peru,6.5,6.1,6.1,16.5,16.3,-,-
Australia,6.5,2.7,3.2,36.4,31.4,-,-
Switzerland,6.4,5.1,4.9,19.7,20.2,-,-
Mexico,6.0,6.4,7.3,15.5,13.7,-,-
Bahrain,5.7,14.4,14.2,6.9,7.0,-,-
Norway,5.6,3.2,3.5,31.6,28.2,-,-
Jordan,5.4,10.7,12.5,9.4,8.0,59.9,1.7
Turkey,5.4,10.8,9.8,9.3,10.2,-,-
Sweden,5.3,2.7,3.2,37.0,31.2,-,-
Austria,5.2,6.0,5.6,16.7,17.8,42.8,2.3
Belgium,4.3,7.8,7.0,12.9,14.3,-,-
Cyprus,4.2,4.4,4.6,22.8,21.5,-,-
Chile,4.1,10.5,5.9,9.6,16.9,-,-
Germany,3.8,4.1,4.0,24.1,25.2,29.7,3.4
Denmark,3.2,9.4,8.3,10.6,12.0,25.4,3.9
