Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Uganda,31.1,1.9,10.0,53.7,10.0,649.4,0.2
Syria,30.5,3.9,3.1,25.3,31.8,283.7,0.4
Hong Kong,30.1,2.7,2.8,37.5,36.1,193.0,0.5
Myanmar,26.8,8.5,2.9,11.8,33.9,318.0,0.3
Ghana,26.6,10.8,13.4,9.3,7.4,670.4,0.1
China,26.4,2.8,3.0,35.9,33.3,230.6,0.4
El Salvador,25.4,5.3,1.7,18.9,60.3,336.1,0.3
Taiwan,25.0,1.4,1.8,71.4,55.5,152.3,0.7
Vietnam,23.9,5.2,7.6,19.3,13.1,285.6,0.4
Venezuela,22.2,12.5,9.3,8.0,10.8,333.4,0.3
Mauritius,22.1,2.2,2.4,45.3,41.5,228.8,0.4
Singapore,21.4,3.4,3.9,29.2,25.7,133.3,0.8
Cambodia,21.1,10.8,7.8,9.3,12.7,232.1,0.4
Algeria,20.9,2.7,3.4,37.0,29.4,161.5,0.6
Iran,20.8,5.0,5.5,19.8,18.1,468.1,0.2
Thailand,20.8,3.9,3.2,25.4,31.1,179.5,0.6
Nepal,19.7,2.6,2.8,38.3,35.2,257.4,0.4
Indonesia,18.9,6.2,5.7,16.0,17.4,217.4,0.5
Philippines,18.5,3.1,2.7,32.3,37.7,198.6,0.5
Ukraine,17.4,6.0,5.9,16.8,17.0,349.3,0.3
Moldova,17.1,5.2,5.7,19.3,17.6,267.3,0.4
Serbia,17.1,2.8,3.1,35.6,31.8,155.3,0.6
Kenya,16.8,8.3,4.1,12.0,24.2,287.3,0.3
Brazil,16.7,4.2,4.3,23.6,23.1,200.6,0.5
Kosovo (Disputed Territory),16.7,6.4,7.2,15.6,13.9,234.7,0.4
Belarus,16.4,5.5,5.2,18.3,19.1,545.5,0.2
Peru,16.3,6.0,6.5,16.6,15.4,189.8,0.5
Lebanon,16.2,4.0,5.7,25.0,17.5,143.7,0.7
Azerbaijan,16.2,7.7,9.0,13.0,11.1,185.7,0.5
Morocco,16.1,4.8,3.6,21.0,27.8,136.0,0.7
Montenegro,16.1,3.1,3.2,32.7,31.0,170.2,0.6
North Macedonia,15.4,3.5,3.5,28.9,28.5,148.1,0.7
Ethiopia,15.4,12.0,7.7,8.4,13.0,175.0,0.6
Georgia,15.2,6.8,6.6,14.8,15.2,208.6,0.5
Ecuador,14.7,7.0,6.4,14.2,15.6,167.7,0.6
Uzbekistan,14.7,6.8,6.7,14.7,14.8,277.5,0.4
Russia,14.6,6.9,6.5,14.6,15.5,210.0,0.5
Albania,14.6,3.5,5.3,28.6,18.8,138.4,0.7
Colombia,14.4,6.1,5.5,16.5,18.1,188.6,0.5
Pakistan,14.3,3.0,3.5,33.0,28.3,218.2,0.5
Sri Lanka,14.3,7.9,3.7,12.7,27.0,226.1,0.4
Zimbabwe,14.1,6.5,4.9,15.3,20.5,406.0,0.2
Armenia,13.4,6.5,5.3,15.3,18.8,197.4,0.5
Lithuania,12.9,4.1,4.1,24.3,24.4,87.5,1.1
Kazakhstan,12.7,5.9,5.6,17.1,18.0,186.7,0.5
Bosnia And Herzegovina,12.5,3.2,3.1,31.7,32.3,123.7,0.8
Croatia,12.5,3.1,3.4,32.5,29.2,110.0,0.9
Botswana,12.4,8.4,2.0,12.0,50.4,159.1,0.6
Latvia,12.2,3.9,4.6,25.9,21.6,83.5,1.2
Romania,11.8,4.8,4.8,20.8,20.7,109.0,0.9
Italy,11.7,2.8,3.6,35.5,28.1,94.1,1.1
Estonia,11.6,4.2,4.4,23.8,23.0,78.1,1.3
Argentina,11.6,3.6,3.8,27.6,26.6,231.7,0.4
Dominican Republic,11.5,6.0,7.8,16.7,12.8,171.9,0.6
Egypt,11.3,7.5,7.9,13.3,12.6,132.3,0.8
Uruguay,11.2,5.6,5.9,17.9,16.9,108.5,0.9
South Korea,11.0,3.3,3.8,29.9,26.6,83.3,1.2
Bangladesh,10.9,3.7,4.3,26.8,23.3,194.0,0.5
Tunisia,10.8,5.9,5.9,16.9,17.1,109.3,0.9
Chile,10.8,4.4,5.3,22.7,18.7,87.7,1.1
Panama,10.8,11.6,7.0,8.7,14.3,88.8,1.1
Nigeria,10.7,10.7,3.4,9.3,29.2,205.2,0.5
Israel,10.7,3.4,3.8,29.8,26.1,68.9,1.5
Palestine,10.6,3.0,3.2,33.2,30.8,84.1,1.2
Slovenia,10.6,3.6,3.8,27.6,26.4,79.6,1.3
Czech Republic,10.6,4.0,4.7,25.2,21.1,71.4,1.4
Poland,10.6,4.4,4.6,22.6,21.5,83.1,1.2
Bolivia,10.3,6.2,5.4,16.3,18.5,94.5,1.1
India,10.1,3.3,3.9,30.3,25.6,124.4,0.8
Trinidad And Tobago,10.0,18.4,3.4,5.4,29.4,95.5,1.0
Nicaragua,10.0,8.2,7.8,12.1,12.8,153.6,0.7
France,9.7,3.2,3.9,31.4,25.5,66.7,1.5
Greece,9.7,3.6,3.5,28.0,28.2,75.3,1.3
Austria,9.6,2.9,3.7,33.9,27.3,64.3,1.6
Spain,9.6,3.9,4.5,25.3,22.3,66.4,1.5
Bulgaria,9.4,5.5,6.0,18.1,16.7,93.0,1.1
Guatemala,9.3,7.2,7.5,14.0,13.2,101.7,1.0
Sweden,9.2,2.8,3.2,35.5,31.5,61.9,1.6
Japan,9.2,3.6,3.3,27.9,30.1,55.8,1.8
Iraq,8.9,8.4,9.7,11.9,10.3,93.2,1.1
United Kingdom,8.6,4.1,4.6,24.3,21.8,63.4,1.6
Hungary,8.6,4.7,5.1,21.5,19.6,84.0,1.2
Jordan,8.6,6.9,7.4,14.5,13.5,87.5,1.1
Slovakia,8.6,6.2,6.6,16.0,15.1,61.1,1.6
