Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Syria,88.3,2.6,3.4,38.1,29.8,1097.9,0.1
Ghana,78.5,15.9,0.4,6.3,272.1,2002.6,0.0
Sri Lanka,44.4,3.2,2.3,31.1,44.1,657.3,0.2
Hong Kong,42.6,1.6,1.8,61.9,56.7,266.6,0.4
Jamaica,38.7,2.7,1.7,36.5,58.9,388.1,0.3
China,38.4,1.6,1.6,61.3,61.8,309.6,0.3
Cambodia,31.2,4.9,5.7,20.6,17.5,367.5,0.3
Nepal,30.4,1.7,2.7,57.9,36.6,400.4,0.2
Philippines,29.6,3.9,3.8,25.7,26.6,288.2,0.3
Iran,28.6,5.7,6.1,17.7,16.3,586.5,0.2
Kenya,26.9,1.5,4.3,64.9,23.4,376.0,0.3
South Korea,26.5,0.8,1.0,123.7,99.6,184.4,0.5
Ethiopia,25.5,11.3,6.5,8.8,15.4,425.8,0.2
Vietnam,24.1,3.3,4.1,30.1,24.6,274.4,0.4
Argentina,22.8,2.3,2.2,42.6,45.7,1033.4,0.1
Nigeria,22.3,27.3,26.7,3.7,3.7,401.2,0.2
Thailand,21.6,3.5,3.4,28.6,29.3,174.4,0.6
Taiwan,19.7,1.7,1.8,60.1,56.4,117.2,0.9
Peru,18.6,4.7,4.7,21.2,21.4,204.7,0.5
Brazil,18.5,3.8,3.9,26.7,25.3,206.2,0.5
Venezuela,18.3,7.2,7.0,13.8,14.4,426.5,0.2
Uruguay,18.1,3.6,4.4,27.6,22.6,201.0,0.5
Indonesia,17.8,4.1,4.6,24.2,21.8,201.7,0.5
Belarus,17.4,4.2,4.5,23.8,22.4,337.1,0.3
Colombia,16.9,5.0,5.1,20.2,19.7,212.2,0.5
Russia,16.9,3.3,3.9,30.0,25.4,205.8,0.5
Paraguay,16.9,5.5,5.5,18.2,18.2,224.6,0.4
Singapore,16.8,2.6,3.7,38.9,27.3,103.0,1.0
Armenia,16.7,6.6,8.8,15.2,11.4,221.1,0.5
Albania,15.8,4.1,5.1,24.3,19.7,123.8,0.8
El Salvador,15.6,7.5,7.4,13.4,13.6,176.6,0.6
Algeria,15.3,3.3,3.7,29.9,27.0,137.1,0.7
Mongolia,15.2,6.0,5.2,16.8,19.1,161.3,0.6
Chile,15.1,4.4,4.5,22.9,22.4,123.8,0.8
Dominican Republic,15.1,6.7,5.4,14.9,18.5,200.6,0.5
Czech Republic,14.9,2.9,2.9,34.4,34.2,108.8,0.9
Serbia,14.8,3.0,3.1,33.5,31.8,106.1,0.9
Kyrgyzstan,14.6,7.2,5.9,14.0,17.0,228.3,0.4
Uzbekistan,14.6,7.2,9.3,14.0,10.7,296.7,0.3
Azerbaijan,14.1,4.1,5.1,24.1,19.5,160.3,0.6
Luxembourg,14.0,3.0,3.3,33.4,30.7,84.3,1.2
Poland,13.5,3.4,4.1,29.4,24.5,111.8,0.9
Pakistan,13.4,4.4,5.3,22.6,18.9,183.4,0.5
Montenegro,13.3,4.8,4.8,20.8,20.9,108.7,0.9
Israel,13.3,3.2,3.2,30.9,31.3,92.1,1.1
