Country,Quality_Life,Purchasing_Power,Safety,Health_Care,Cost_Living,Property_Price_Income,Traffic_Time,Pollution,Climate
Switzerland,215.7,138.2,72.4,72.0,147.0,6.2,25.9,23.0,-
Germany,204.8,118.0,76.1,73.3,87.6,5.0,31.9,28.4,-
United States,199.6,138.4,46.6,67.8,79.6,2.2,39.5,32.5,-
Sweden,191.4,108.3,68.2,78.7,110.7,8.8,27.9,18.8,-
Canada,186.0,111.0,65.0,72.8,95.5,5.1,38.8,26.5,-
United Arab Emirates,186.0,123.9,82.0,59.9,74.1,4.4,24.5,58.4,-
Denmark,182.3,104.6,69.3,86.1,114.1,7.0,22.5,34.3,-
Norway,173.9,97.3,74.4,80.5,164.9,7.3,27.1,23.4,-
Qatar,169.9,140.6,73.8,68.1,80.9,5.4,30.5,82.8,-
Austria,167.4,88.6,69.6,81.5,93.1,8.8,28.0,28.8,-
Finland,167.2,95.6,67.3,76.4,101.7,9.4,49.0,18.5,-
Australia,165.8,104.2,55.6,75.6,130.7,8.1,39.1,20.9,-
New Zealand,163.2,85.6,58.2,76.0,110.5,5.9,26.6,21.8,-
Netherlands,160.5,94.9,62.5,66.8,98.1,6.3,38.7,28.1,-
Japan,159.8,87.7,86.9,80.1,113.2,8.3,50.3,33.7,-
Estonia,154.9,54.0,75.8,78.1,67.2,9.3,23.2,16.4,-
France,151.4,99.2,48.9,85.6,98.9,8.4,28.9,41.3,-
Ireland,149.6,91.7,55.0,49.0,107.7,5.5,21.0,29.8,-
United Kingdom,148.1,90.5,60.2,71.3,97.0,6.7,38.7,36.0,-
Belgium,146.7,95.5,57.1,81.5,103.0,6.7,27.3,49.6,-
Spain,141.1,83.7,65.9,75.6,79.3,9.6,26.4,46.5,-
Saudi Arabia,140.5,116.1,68.3,34.2,71.3,3.1,15.8,80.5,-
South Korea,135.6,95.6,82.6,80.6,79.7,12.5,21.5,75.6,-
Slovenia,133.6,60.1,70.4,72.1,78.2,12.1,24.7,28.2,-
South Africa,123.8,107.4,23.3,61.3,59.5,3.2,38.9,59.0,-
Czech Republic,122.2,64.5,65.9,62.0,61.0,10.0,30.8,40.1,-
Taiwan,120.6,74.2,83.7,81.2,66.8,9.0,38.3,71.5,-
Portugal,119.8,54.6,65.0,61.6,71.8,8.1,27.9,35.0,-
Puerto Rico,117.9,95.7,29.5,59.0,81.5,3.9,32.5,54.0,-
Slovakia,114.6,54.2,64.8,60.0,62.7,7.9,41.0,34.4,-
Lithuania,114.0,42.8,65.4,70.8,61.0,13.6,27.3,25.2,-
Israel,99.3,73.5,51.7,87.0,90.2,10.3,46.6,59.5,-
Hong Kong,94.3,81.2,83.4,71.1,76.2,23.9,43.9,64.9,-
Poland,90.5,55.6,61.1,57.8,53.3,13.0,36.2,50.0,-
Croatia,88.9,52.1,67.7,50.0,69.6,13.1,43.9,42.0,-
Mexico,87.9,60.7,43.8,72.1,52.4,5.7,37.4,66.1,-
Italy,87.4,75.8,50.5,64.8,98.1,13.0,38.4,58.9,-
Panama,86.8,37.7,51.5,82.4,50.8,10.8,31.7,48.1,-
Hungary,85.6,43.5,66.3,51.0,60.8,10.7,22.5,53.3,-
Malaysia,79.7,71.8,32.3,59.7,54.1,6.8,38.6,67.4,-
Uruguay,78.3,38.1,55.0,57.2,80.7,11.5,50.0,30.5,-
Turkey,74.8,57.3,64.8,71.9,61.7,6.2,50.5,82.0,-
India,73.7,62.7,57.9,62.7,30.2,10.0,50.6,77.5,-
Chile,72.6,58.0,59.7,61.5,66.4,9.2,40.2,74.2,-
Argentina,72.5,51.1,40.7,78.3,69.7,10.2,46.7,55.6,-
Bosnia And Herzegovina,71.6,47.3,56.7,54.5,50.6,11.7,18.8,67.6,-
Singapore,69.2,60.9,80.0,58.8,104.1,25.1,51.1,49.5,-
Serbia,63.7,37.0,58.8,55.6,51.1,17.2,25.5,52.8,-
Romania,57.8,36.4,70.0,46.1,49.5,14.3,34.8,63.3,-
Greece,55.5,50.3,50.2,50.4,88.1,11.6,38.5,62.7,-
Thailand,54.1,35.4,59.5,94.7,51.3,18.3,38.6,72.1,-
Bulgaria,53.7,38.0,58.5,54.6,51.4,10.1,22.2,78.9,-
Brazil,48.2,41.4,37.4,57.6,69.9,13.3,35.8,56.5,-
Ecuador,37.7,26.0,40.3,64.8,46.0,13.3,43.0,58.5,-
Georgia,35.7,29.0,80.4,69.0,53.2,33.8,20.0,64.8,-
Colombia,35.1,29.4,45.8,77.3,57.2,15.5,43.6,68.3,-
Ukraine,31.9,32.3,51.1,47.9,48.0,15.4,39.9,67.3,-
China,31.5,42.4,73.1,60.9,60.7,22.2,30.5,89.3,-
Philippines,21.1,26.0,45.1,73.7,47.8,16.4,46.8,74.8,-
Russia,18.5,39.6,47.6,39.3,68.1,12.4,49.7,78.3,-
Mongolia,14.1,28.4,53.1,43.1,61.9,13.0,26.7,89.0,-
Lebanon,12.5,44.1,52.7,43.3,73.9,18.4,36.4,88.0,-
Pakistan,7.7,26.4,38.5,47.9,32.8,17.5,16.0,87.0,-
Egypt,7.6,27.4,51.3,59.1,44.1,12.3,59.0,89.9,-
Iran,-7.0,35.8,43.9,45.7,57.0,16.3,58.3,90.2,-
Indonesia,-12.5,24.6,59.5,48.5,46.0,24.8,54.4,85.1,-
Venezuela,-48.3,18.7,14.3,44.4,110.6,20.8,38.8,81.9,-
