Country,Quality_Life,Purchasing_Power,Safety,Health_Care,Cost_Living,Property_Price_Income,Traffic_Time,Pollution,Climate
Denmark,180.1,98.7,78.5,76.2,93.3,7.3,28.6,24.2,82.0
Finland,179.4,101.9,76.8,74.6,81.2,7.6,33.9,12.6,58.8
Germany,178.9,107.9,67.4,76.0,73.2,7.8,30.7,27.2,82.8
Austria,178.5,87.1,80.9,79.5,79.0,9.5,27.1,23.5,77.7
Netherlands,177.8,94.2,71.1,82.2,79.6,6.7,32.8,27.3,86.8
Switzerland,172.9,114.6,78.4,71.7,138.2,10.4,28.9,22.4,79.6
New Zealand,172.5,89.6,60.8,71.6,87.5,7.0,33.6,19.8,96.1
Australia,172.4,107.8,58.0,75.4,86.0,7.6,35.7,24.9,87.9
United States,167.5,114.7,51.5,68.5,77.2,3.1,34.8,31.4,76.1
Slovenia,166.1,68.7,75.3,65.2,58.3,8.2,26.5,26.0,76.1
Spain,165.7,78.2,70.0,76.3,60.6,7.9,32.1,38.4,91.6
Sweden,159.9,94.8,50.7,70.6,83.3,11.6,30.2,19.2,73.7
Portugal,159.6,55.8,65.1,69.7,54.6,9.2,31.1,29.8,97.3
Norway,158.9,92.2,55.0,75.0,112.8,8.6,30.6,19.5,71.9
Canada,158.2,98.5,60.9,69.8,72.8,6.4,36.0,27.7,53.6
United Kingdom,156.8,92.5,59.0,74.3,76.0,11.1,35.5,36.9,87.7
Japan,155.8,92.5,80.5,81.3,89.5,13.3,45.2,41.0,81.4
Croatia,155.1,53.7,71.9,65.1,54.0,10.8,29.4,31.7,87.2
France,154.4,89.4,55.2,78.4,81.2,9.3,34.8,41.0,89.9
Czech Republic,153.7,65.8,70.8,75.5,47.7,11.4,31.3,41.4,78.1
Ireland,152.1,87.3,55.2,53.1,84.9,7.1,37.0,28.3,89.5
Taiwan,150.0,94.9,81.7,82.8,66.8,13.8,35.8,62.9,75.2
Belgium,147.5,80.4,57.7,79.8,82.2,7.2,34.7,49.8,86.4
Slovakia,144.5,57.9,69.5,63.2,49.4,9.7,33.7,42.0,77.5
South Korea,142.7,89.7,70.6,82.5,81.1,14.3,36.0,52.5,65.9
Israel,142.5,92.3,70.5,75.0,88.6,13.4,35.5,61.1,89.8
Poland,141.3,64.8,69.8,62.3,43.5,9.8,34.1,51.1,75.6
United Arab Emirates,140.6,106.1,80.7,63.3,70.1,5.2,37.2,56.4,23.8
Saudi Arabia,139.9,119.4,72.9,60.3,50.2,2.8,35.0,73.1,32.0
Lithuania,138.4,48.5,60.9,66.3,51.9,13.8,27.0,33.9,66.8
Romania,138.2,57.4,71.5,53.8,38.7,8.8,32.5,51.2,74.6
Singapore,134.5,88.1,83.1,68.5,88.1,22.2,45.4,34.8,48.0
Italy,132.6,68.1,55.4,66.7,77.4,10.4,36.2,52.3,89.6
Greece,131.1,49.7,60.6,54.6,61.3,8.5,31.0,52.4,91.0
South Africa,126.4,85.9,24.6,62.6,46.5,3.6,43.0,62.5,92.5
Hungary,125.8,41.5,61.8,52.3,47.2,12.4,33.5,45.2,78.2
Bulgaria,122.9,46.6,60.0,52.7,40.2,8.8,29.1,62.6,78.8
Mexico,120.7,51.4,49.4,69.8,36.3,7.0,39.8,66.5,78.4
Argentina,119.7,50.8,36.5,72.2,56.8,11.8,38.9,55.1,94.6
Turkey,118.3,47.8,59.0,70.8,44.4,9.4,46.2,70.1,88.6
Chile,116.4,49.6,55.4,61.8,53.3,12.4,36.1,67.2,90.1
Serbia,116.4,36.1,61.2,53.1,37.4,18.0,29.3,55.7,82.1
India,110.4,67.1,55.5,67.5,27.5,9.9,46.6,76.6,55.6
Malaysia,104.1,64.4,36.4,65.7,43.3,9.5,37.1,65.2,42.2
Indonesia,103.8,32.6,56.2,68.2,42.3,13.0,41.7,58.0,49.3
Colombia,103.6,33.0,48.7,66.8,34.3,18.3,47.1,64.6,93.3
Hong Kong,99.2,74.0,79.9,65.2,79.2,38.6,41.3,68.5,72.8
Pakistan,94.2,35.9,46.7,56.9,27.6,11.8,40.1,77.9,69.3
Philippines,92.9,31.9,60.0,68.5,36.5,17.2,43.4,71.3,49.6
Russia,91.7,45.2,54.3,56.1,44.5,12.4,49.5,63.8,38.0
China,91.3,62.2,67.5,61.6,45.8,27.4,43.4,86.8,72.5
Brazil,89.6,36.5,29.6,52.4,53.1,17.0,46.2,60.1,90.2
Ukraine,87.6,25.2,49.6,49.3,29.2,19.9,38.5,67.6,69.2
Iran,85.0,39.3,50.2,51.8,38.2,12.9,50.2,80.8,69.0
Thailand,82.0,28.6,51.1,80.6,47.2,26.0,41.1,72.8,51.8
Egypt,78.5,23.2,46.7,42.9,25.4,11.7,47.6,89.1,85.8
